prec_id,"Floyd B. McKissick, Jr.",election
durham_1,116,nc_state_senate_district_20
durham_46,650,nc_state_senate_district_20
durham_25,3,nc_state_senate_district_20
durham_41,499,nc_state_senate_district_20
durham_43,124,nc_state_senate_district_20
durham_4,20,nc_state_senate_district_20
durham_7,134,nc_state_senate_district_20
durham_52,910,nc_state_senate_district_20
durham_36,41,nc_state_senate_district_20
durham_15,320,nc_state_senate_district_20
durham_47,556,nc_state_senate_district_20
durham_16,17,nc_state_senate_district_20
durham_20,56,nc_state_senate_district_20
durham_38,272,nc_state_senate_district_20
durham_39,232,nc_state_senate_district_20
durham_54,959,nc_state_senate_district_20
durham_30-1,809,nc_state_senate_district_20
durham_19,793,nc_state_senate_district_20
durham_14,468,nc_state_senate_district_20
durham_48,151,nc_state_senate_district_20
durham_55-49,384,nc_state_senate_district_20
durham_29,838,nc_state_senate_district_20
durham_42,376,nc_state_senate_district_20
durham_8,529,nc_state_senate_district_20
durham_5,124,nc_state_senate_district_20
durham_10,253,nc_state_senate_district_20
durham_9,346,nc_state_senate_district_20
durham_40,264,nc_state_senate_district_20
durham_45,61,nc_state_senate_district_20
durham_3,95,nc_state_senate_district_20
durham_6,83,nc_state_senate_district_20
durham_23,1269,nc_state_senate_district_20
durham_24,268,nc_state_senate_district_20
durham_12,175,nc_state_senate_district_20
durham_17,602,nc_state_senate_district_20
durham_34-2,1057,nc_state_senate_district_20
durham_34-1,756,nc_state_senate_district_20
durham_37,27,nc_state_senate_district_20
durham_21,561,nc_state_senate_district_20
durham_55-11,508,nc_state_senate_district_20
durham_ONESTOP,13984,nc_state_senate_district_20
durham_44,146,nc_state_senate_district_20
durham_2,331,nc_state_senate_district_20
durham_22,1236,nc_state_senate_district_20
durham_50,65,nc_state_senate_district_20
durham_35.3,431,nc_state_senate_district_20
durham_33,265,nc_state_senate_district_20
durham_30-2,1752,nc_state_senate_district_20
durham_31,230,nc_state_senate_district_20
durham_13,282,nc_state_senate_district_20
durham_18,539,nc_state_senate_district_20
durham_53-1,52,nc_state_senate_district_20
granville_WOEL,550,nc_state_senate_district_20
granville_ANTI,541,nc_state_senate_district_20
granville_OKHL,433,nc_state_senate_district_20
granville_SOOX,619,nc_state_senate_district_20
granville_TYHO,865,nc_state_senate_district_20
granville_MTEN,1030,nc_state_senate_district_20
granville_SASS,576,nc_state_senate_district_20
granville_CORI,653,nc_state_senate_district_20
granville_CRDL,692,nc_state_senate_district_20
granville_BTNR,872,nc_state_senate_district_20
granville_CRDM,1153,nc_state_senate_district_20
granville_EAOX,785,nc_state_senate_district_20
granville_SALM,515,nc_state_senate_district_20
granville_BERE,493,nc_state_senate_district_20
granville_WILT,1014,nc_state_senate_district_20
