prec_id,Dean Hicks,Michele D. Presnell,election
haywood_PC,172,288,nc_house_of_representatives_district_118
haywood_CURBSIDE,0,0,nc_house_of_representatives_district_118
haywood_BE56,422,326,nc_house_of_representatives_district_118
haywood_CL-N,406,477,nc_house_of_representatives_district_118
haywood_CL-S,444,489,nc_house_of_representatives_district_118
haywood_BE-1,188,261,nc_house_of_representatives_district_118
haywood_JC,590,665,nc_house_of_representatives_district_118
haywood_BE-4,272,356,nc_house_of_representatives_district_118
haywood_CE,49,101,nc_house_of_representatives_district_118
haywood_EF,183,289,nc_house_of_representatives_district_118
haywood_WO,71,62,nc_house_of_representatives_district_118
haywood_P,406,733,nc_house_of_representatives_district_118
haywood_BE-3,322,449,nc_house_of_representatives_district_118
haywood_FC-2,39,48,nc_house_of_representatives_district_118
haywood_BC,6,7,nc_house_of_representatives_district_118
haywood_BE-7,172,311,nc_house_of_representatives_district_118
haywood_BE-2,223,206,nc_house_of_representatives_district_118
haywood_IH,606,709,nc_house_of_representatives_district_118
haywood_FC-1,157,150,nc_house_of_representatives_district_118
haywood_CR,382,370,nc_house_of_representatives_district_118
madison_BEECH,517,624,nc_house_of_representatives_district_118
madison_LAUREL,211,183,nc_house_of_representatives_district_118
madison_MARS H,864,766,nc_house_of_representatives_district_118
madison_SPRING,222,155,nc_house_of_representatives_district_118
madison_WALNUT,303,279,nc_house_of_representatives_district_118
madison_SOUTH,303,187,nc_house_of_representatives_district_118
madison_REVERE,110,31,nc_house_of_representatives_district_118
madison_NORTH,597,485,nc_house_of_representatives_district_118
madison_SANDY,135,104,nc_house_of_representatives_district_118
madison_HOT SP,247,150,nc_house_of_representatives_district_118
madison_EBBS C,203,280,nc_house_of_representatives_district_118
madison_GRAPEV,239,232,nc_house_of_representatives_district_118
yancey_06 JAC,454,376,nc_house_of_representatives_district_118
yancey_05 GRE,163,121,nc_house_of_representatives_district_118
yancey_11 PRI,288,411,nc_house_of_representatives_district_118
yancey_03 EGY,133,147,nc_house_of_representatives_district_118
yancey_01 BUR,1050,961,nc_house_of_representatives_district_118
yancey_04 RAM,83,91,nc_house_of_representatives_district_118
yancey_10 PEN,146,168,nc_house_of_representatives_district_118
yancey_07 BRU,99,110,nc_house_of_representatives_district_118
yancey_02 CAN,343,408,nc_house_of_representatives_district_118
yancey_08 CRA,690,783,nc_house_of_representatives_district_118
yancey_09 SOU,654,499,nc_house_of_representatives_district_118
