prec_id,Elmer Floyd,election
cumberland_G3B,26,nc_house_of_representatives_district_043
cumberland_G2C-2,711,nc_house_of_representatives_district_043
cumberland_EO61-1,540,nc_house_of_representatives_district_043
cumberland_G1B,979,nc_house_of_representatives_district_043
cumberland_CC14,23,nc_house_of_representatives_district_043
cumberland_ONESTOP,561,nc_house_of_representatives_district_043
cumberland_G2E-1,571,nc_house_of_representatives_district_043
cumberland_CC15,8,nc_house_of_representatives_district_043
cumberland_G3C,105,nc_house_of_representatives_district_043
cumberland_CC21,961,nc_house_of_representatives_district_043
cumberland_G6C,152,nc_house_of_representatives_district_043
cumberland_G2C-1,724,nc_house_of_representatives_district_043
cumberland_CC04,72,nc_house_of_representatives_district_043
cumberland_G9B-2,102,nc_house_of_representatives_district_043
cumberland_G2B,1126,nc_house_of_representatives_district_043
cumberland_G2D,441,nc_house_of_representatives_district_043
cumberland_LI65,7,nc_house_of_representatives_district_043
cumberland_G3A-1,853,nc_house_of_representatives_district_043
cumberland_G1A,581,nc_house_of_representatives_district_043
cumberland_G11B,1,nc_house_of_representatives_district_043
cumberland_G2A,1383,nc_house_of_representatives_district_043
cumberland_G2E-2,759,nc_house_of_representatives_district_043
cumberland_CC08,82,nc_house_of_representatives_district_043
cumberland_EO61-2,469,nc_house_of_representatives_district_043
cumberland_CC06,45,nc_house_of_representatives_district_043
cumberland_CC01,704,nc_house_of_representatives_district_043
cumberland_G9A,344,nc_house_of_representatives_district_043
cumberland_CC05,693,nc_house_of_representatives_district_043
cumberland_CC16,975,nc_house_of_representatives_district_043
cumberland_CC13,524,nc_house_of_representatives_district_043
cumberland_CC19,301,nc_house_of_representatives_district_043
cumberland_CC17,899,nc_house_of_representatives_district_043
