prec_id,Tricia Cotham,election
mecklenburg_CURBSIDE,73,nc_house_of_representatives_district_100
mecklenburg_61,315,nc_house_of_representatives_district_100
mecklenburg_6,464,nc_house_of_representatives_district_100
mecklenburg_17,115,nc_house_of_representatives_district_100
mecklenburg_115,422,nc_house_of_representatives_district_100
mecklenburg_94,494,nc_house_of_representatives_district_100
mecklenburg_125,389,nc_house_of_representatives_district_100
mecklenburg_130,455,nc_house_of_representatives_district_100
mecklenburg_29,584,nc_house_of_representatives_district_100
mecklenburg_46,745,nc_house_of_representatives_district_100
mecklenburg_85,173,nc_house_of_representatives_district_100
mecklenburg_63,591,nc_house_of_representatives_district_100
mecklenburg_44,559,nc_house_of_representatives_district_100
mecklenburg_33,531,nc_house_of_representatives_district_100
mecklenburg_34,565,nc_house_of_representatives_district_100
mecklenburg_2,129,nc_house_of_representatives_district_100
mecklenburg_62,574,nc_house_of_representatives_district_100
mecklenburg_45,487,nc_house_of_representatives_district_100
mecklenburg_99,456,nc_house_of_representatives_district_100
mecklenburg_15,987,nc_house_of_representatives_district_100
mecklenburg_109,731,nc_house_of_representatives_district_100
mecklenburg_117,579,nc_house_of_representatives_district_100
mecklenburg_30,594,nc_house_of_representatives_district_100
mecklenburg_102,623,nc_house_of_representatives_district_100
mecklenburg_64,1,nc_house_of_representatives_district_100
mecklenburg_5,398,nc_house_of_representatives_district_100
mecklenburg_235,157,nc_house_of_representatives_district_100
mecklenburg_217,239,nc_house_of_representatives_district_100
