prec_id,John Alexander,Tom Bradshaw,election
wake_43848,381,418,nc_state_senate_district_15
wake_ONESTOP,9622,12825,nc_state_senate_district_15
wake_15707,191,258,nc_state_senate_district_15
wake_13-05,87,81,nc_state_senate_district_15
wake_13-02,446,433,nc_state_senate_district_15
wake_44015,355,340,nc_state_senate_district_15
wake_43835,290,308,nc_state_senate_district_15
wake_43860,312,355,nc_state_senate_district_15
wake_44051,802,721,nc_state_senate_district_15
wake_44025,324,369,nc_state_senate_district_15
wake_44021,401,580,nc_state_senate_district_15
wake_44018,702,648,nc_state_senate_district_15
wake_19-12,824,557,nc_state_senate_district_15
wake_19-15,448,325,nc_state_senate_district_15
wake_13-11,772,575,nc_state_senate_district_15
wake_43864,834,468,nc_state_senate_district_15
wake_43842,303,438,nc_state_senate_district_15
wake_43847,255,207,nc_state_senate_district_15
wake_19-13,340,361,nc_state_senate_district_15
wake_44048,436,413,nc_state_senate_district_15
wake_16438,324,356,nc_state_senate_district_15
wake_13-06,538,606,nc_state_senate_district_15
wake_14-01,221,112,nc_state_senate_district_15
wake_43834,301,330,nc_state_senate_district_15
wake_44054,608,776,nc_state_senate_district_15
wake_44016,531,872,nc_state_senate_district_15
wake_44019,644,730,nc_state_senate_district_15
wake_13150,505,375,nc_state_senate_district_15
wake_13516,383,455,nc_state_senate_district_15
wake_19-11,475,370,nc_state_senate_district_15
wake_14-02,1520,577,nc_state_senate_district_15
wake_44052,319,382,nc_state_senate_district_15
wake_14246,272,451,nc_state_senate_district_15
wake_43841,675,428,nc_state_senate_district_15
wake_44045,677,707,nc_state_senate_district_15
wake_44047,452,339,nc_state_senate_district_15
wake_44050,660,497,nc_state_senate_district_15
wake_43865,672,378,nc_state_senate_district_15
wake_43862,784,560,nc_state_senate_district_15
wake_19-14,548,321,nc_state_senate_district_15
wake_44023,259,289,nc_state_senate_district_15
wake_44017,299,360,nc_state_senate_district_15
wake_19-05,781,360,nc_state_senate_district_15
wake_44053,405,443,nc_state_senate_district_15
wake_43833,534,502,nc_state_senate_district_15
wake_43859,623,577,nc_state_senate_district_15
wake_18629,246,310,nc_state_senate_district_15
wake_43867,716,377,nc_state_senate_district_15
wake_43840,332,518,nc_state_senate_district_15
wake_43845,308,365,nc_state_senate_district_15
wake_07-07A,151,201,nc_state_senate_district_15
wake_43866,303,216,nc_state_senate_district_15
wake_43863,1328,829,nc_state_senate_district_15
wake_44046,760,745,nc_state_senate_district_15
wake_19-03,593,425,nc_state_senate_district_15
wake_15342,569,555,nc_state_senate_district_15
wake_17168,546,482,nc_state_senate_district_15
wake_13-10,1217,1013,nc_state_senate_district_15
