prec_id,Bert Jones,Elretha Perkins,election
caswell_LEAS,157,152,nc_house_of_representatives_district_065
caswell_YANC,431,533,nc_house_of_representatives_district_065
caswell_HIGH,203,228,nc_house_of_representatives_district_065
caswell_LOCU,366,560,nc_house_of_representatives_district_065
caswell_PELH,784,435,nc_house_of_representatives_district_065
caswell_ANDE,278,99,nc_house_of_representatives_district_065
caswell_MILT,401,610,nc_house_of_representatives_district_065
caswell_STON,557,333,nc_house_of_representatives_district_065
caswell_PROS,314,123,nc_house_of_representatives_district_065
caswell_PROVI,239,151,nc_house_of_representatives_district_065
rockingham_MC,312,133,nc_house_of_representatives_district_065
rockingham_NB,1076,242,nc_house_of_representatives_district_065
rockingham_HO,405,161,nc_house_of_representatives_district_065
rockingham_IR,937,252,nc_house_of_representatives_district_065
rockingham_LI,1241,524,nc_house_of_representatives_district_065
rockingham_LK-2,1082,577,nc_house_of_representatives_district_065
rockingham_RC,1724,662,nc_house_of_representatives_district_065
rockingham_HU,1320,351,nc_house_of_representatives_district_065
rockingham_ED-1,1140,552,nc_house_of_representatives_district_065
rockingham_EC,1239,629,nc_house_of_representatives_district_065
rockingham_DR,596,320,nc_house_of_representatives_district_065
rockingham_SE,1006,789,nc_house_of_representatives_district_065
