prec_id,Elizabeth Redenbaugh,Michael Lee,election
new hanover_ONESTOP,0,0,nc_state_senate_district_09
new hanover_W29,341,49,nc_state_senate_district_09
new hanover_W03,225,82,nc_state_senate_district_09
new hanover_M02,1212,1938,nc_state_senate_district_09
new hanover_M07,346,577,nc_state_senate_district_09
new hanover_W28,622,409,nc_state_senate_district_09
new hanover_H08,1052,1717,nc_state_senate_district_09
new hanover_M04,1230,1782,nc_state_senate_district_09
new hanover_H03,859,1570,nc_state_senate_district_09
new hanover_H04,683,1013,nc_state_senate_district_09
new hanover_FP04,710,1210,nc_state_senate_district_09
new hanover_FP05,365,621,nc_state_senate_district_09
new hanover_FP03,382,560,nc_state_senate_district_09
new hanover_W30,836,884,nc_state_senate_district_09
new hanover_WB,382,723,nc_state_senate_district_09
new hanover_H11,877,1359,nc_state_senate_district_09
new hanover_W27,1158,305,nc_state_senate_district_09
new hanover_W24,457,357,nc_state_senate_district_09
new hanover_W12,521,418,nc_state_senate_district_09
new hanover_W15,1130,221,nc_state_senate_district_09
new hanover_W18,297,373,nc_state_senate_district_09
new hanover_W21,789,869,nc_state_senate_district_09
new hanover_FP07,766,1281,nc_state_senate_district_09
new hanover_CF05,479,695,nc_state_senate_district_09
new hanover_FP02,554,698,nc_state_senate_district_09
new hanover_CF06,540,749,nc_state_senate_district_09
new hanover_M06,572,900,nc_state_senate_district_09
new hanover_H06,521,703,nc_state_senate_district_09
new hanover_W31,780,1217,nc_state_senate_district_09
new hanover_W08,400,190,nc_state_senate_district_09
new hanover_H10,773,659,nc_state_senate_district_09
new hanover_W25,1168,229,nc_state_senate_district_09
new hanover_H01,323,409,nc_state_senate_district_09
new hanover_H02,550,1538,nc_state_senate_district_09
new hanover_M03,608,956,nc_state_senate_district_09
new hanover_W17,573,705,nc_state_senate_district_09
new hanover_H05,652,1159,nc_state_senate_district_09
new hanover_FP06,586,914,nc_state_senate_district_09
new hanover_H09,1335,2489,nc_state_senate_district_09
new hanover_CF01,840,752,nc_state_senate_district_09
new hanover_CF02,435,773,nc_state_senate_district_09
new hanover_W13,400,149,nc_state_senate_district_09
new hanover_W16,702,935,nc_state_senate_district_09
new hanover_W26,606,380,nc_state_senate_district_09
