prec_id,D. Craig Horn,election
union_029C,345,nc_house_of_representatives_district_068
union_ONESTOP,0,nc_house_of_representatives_district_068
union_1,114,nc_house_of_representatives_district_068
union_029B,562,nc_house_of_representatives_district_068
union_40,377,nc_house_of_representatives_district_068
union_028C,1111,nc_house_of_representatives_district_068
union_028D,1189,nc_house_of_representatives_district_068
union_020A,922,nc_house_of_representatives_district_068
union_10,222,nc_house_of_representatives_district_068
union_020B,1069,nc_house_of_representatives_district_068
union_18,989,nc_house_of_representatives_district_068
union_42,446,nc_house_of_representatives_district_068
union_029A,939,nc_house_of_representatives_district_068
union_41,1170,nc_house_of_representatives_district_068
union_3,238,nc_house_of_representatives_district_068
union_2,301,nc_house_of_representatives_district_068
union_19,1215,nc_house_of_representatives_district_068
union_017B,1390,nc_house_of_representatives_district_068
union_017A,426,nc_house_of_representatives_district_068
union_028A,1460,nc_house_of_representatives_district_068
union_028B,1135,nc_house_of_representatives_district_068
union_31,810,nc_house_of_representatives_district_068
