prec_id,Darren Jackson,election
wake_44107,697,nc_house_of_representatives_district_039
wake_19-17,1183,nc_house_of_representatives_district_039
wake_16-03,177,nc_house_of_representatives_district_039
wake_16-08,80,nc_house_of_representatives_district_039
wake_16-09,612,nc_house_of_representatives_district_039
wake_17-04,750,nc_house_of_representatives_district_039
wake_17-05,28,nc_house_of_representatives_district_039
wake_ONESTOP,5985,nc_house_of_representatives_district_039
wake_17-08,1082,nc_house_of_representatives_district_039
wake_13-01,304,nc_house_of_representatives_district_039
wake_16-01,458,nc_house_of_representatives_district_039
wake_16-04,425,nc_house_of_representatives_district_039
wake_17-11,175,nc_house_of_representatives_district_039
wake_17-03,921,nc_house_of_representatives_district_039
wake_44108,1279,nc_house_of_representatives_district_039
wake_16-06,174,nc_house_of_representatives_district_039
wake_16-07,957,nc_house_of_representatives_district_039
wake_16-05,542,nc_house_of_representatives_district_039
wake_17-06,427,nc_house_of_representatives_district_039
wake_44076,882,nc_house_of_representatives_district_039
wake_15-02,450,nc_house_of_representatives_district_039
wake_15-01,140,nc_house_of_representatives_district_039
wake_15-04,563,nc_house_of_representatives_district_039
