prec_id,Susan J. Hogarth,Susan P. Evans,Tamara Barringer,election
wake_43927,44,417,488,nc_state_senate_district_17
wake_43992,58,287,492,nc_state_senate_district_17
wake_44170,80,491,1026,nc_state_senate_district_17
wake_OSLOB 41-80,11,175,75,nc_state_senate_district_17
wake_OSNB 1-40,0,7,4,nc_state_senate_district_17
wake_20-14,73,622,749,nc_state_senate_district_17
wake_20-12,44,205,424,nc_state_senate_district_17
wake_ABSEN 41-80,29,511,489,nc_state_senate_district_17
wake_OSWD 41-80,0,2,4,nc_state_senate_district_17
wake_OSWA 41-80,10,120,168,nc_state_senate_district_17
wake_OSNR 1-40,2,17,12,nc_state_senate_district_17
wake_43933,66,381,456,nc_state_senate_district_17
wake_18-06,12,69,107,nc_state_senate_district_17
wake_18-07,44,242,510,nc_state_senate_district_17
wake_PROVI 1-40,63,260,288,nc_state_senate_district_17
wake_OSTC 1-40,21,149,113,nc_state_senate_district_17
wake_TRANS 1-40,0,0,0,nc_state_senate_district_17
wake_43930,29,326,493,nc_state_senate_district_17
wake_43990,49,301,334,nc_state_senate_district_17
wake_43989,55,461,604,nc_state_senate_district_17
wake_20-06A,76,522,615,nc_state_senate_district_17
wake_OSAB 41-80,0,4,7,nc_state_senate_district_17
wake_20-16,43,424,349,nc_state_senate_district_17
wake_PROVI 41-80,2,34,28,nc_state_senate_district_17
wake_OSCH 1-40,11,246,52,nc_state_senate_district_17
wake_OSGR 41-80,1,8,12,nc_state_senate_district_17
wake_18-04,43,355,638,nc_state_senate_district_17
wake_20-08,63,391,670,nc_state_senate_district_17
wake_20-04,54,481,554,nc_state_senate_district_17
wake_18-05,64,484,860,nc_state_senate_district_17
wake_20-01,81,380,484,nc_state_senate_district_17
wake_44173,64,520,565,nc_state_senate_district_17
wake_OSOP 41-80,1,17,21,nc_state_senate_district_17
wake_OSCA 41-80,85,1965,1255,nc_state_senate_district_17
wake_OSKD 41-80,0,3,0,nc_state_senate_district_17
wake_OSFB 41-80,34,531,274,nc_state_senate_district_17
wake_OSNB 41-80,1,2,1,nc_state_senate_district_17
wake_OSZB 1-40,1,10,21,nc_state_senate_district_17
wake_OSAP 41-80,77,1467,1224,nc_state_senate_district_17
wake_OSAP 1-40,737,12240,9588,nc_state_senate_district_17
wake_18-08,71,538,686,nc_state_senate_district_17
wake_20-09,43,314,514,nc_state_senate_district_17
wake_18-03,38,373,473,nc_state_senate_district_17
wake_43931,74,444,499,nc_state_senate_district_17
wake_OSLL 1-40,3,84,51,nc_state_senate_district_17
wake_OSAV 41-80,7,82,107,nc_state_senate_district_17
wake_OSCB 1-40,21,456,231,nc_state_senate_district_17
wake_OSTC 41-80,3,28,18,nc_state_senate_district_17
wake_18-02,89,426,966,nc_state_senate_district_17
wake_20-15,65,497,445,nc_state_senate_district_17
wake_20-10,49,447,542,nc_state_senate_district_17
wake_OSNR 41-80,0,4,4,nc_state_senate_district_17
wake_36586,71,430,744,nc_state_senate_district_17
wake_43928,31,331,698,nc_state_senate_district_17
wake_ABSEN 1-40,217,2958,3054,nc_state_senate_district_17
wake_43936,69,471,461,nc_state_senate_district_17
wake_OSZB 41-80,0,3,7,nc_state_senate_district_17
wake_43957,56,577,766,nc_state_senate_district_17
wake_20-03,73,295,535,nc_state_senate_district_17
wake_OSLOB 1-40,51,635,419,nc_state_senate_district_17
wake_OSWA 1-40,115,1090,1544,nc_state_senate_district_17
wake_OSCB 41-80,21,170,91,nc_state_senate_district_17
wake_TRANS 41-80,0,0,0,nc_state_senate_district_17
wake_OSCA 1-40,250,5583,3481,nc_state_senate_district_17
wake_OSFV 1-40,185,2482,3362,nc_state_senate_district_17
wake_44174,63,309,632,nc_state_senate_district_17
wake_43987,53,266,547,nc_state_senate_district_17
wake_43988,96,514,921,nc_state_senate_district_17
wake_20-06B,74,403,657,nc_state_senate_district_17
wake_OSWD 1-40,1,15,10,nc_state_senate_district_17
wake_20-05,51,364,669,nc_state_senate_district_17
wake_OSAB 1-40,2,21,15,nc_state_senate_district_17
wake_OSHS 41-80,1,31,20,nc_state_senate_district_17
wake_44167,94,570,750,nc_state_senate_district_17
wake_OSKD 1-40,0,6,11,nc_state_senate_district_17
wake_OSGR 1-40,5,70,48,nc_state_senate_district_17
wake_20-17,53,389,489,nc_state_senate_district_17
wake_OSFV 41-80,2,3,14,nc_state_senate_district_17
wake_44171,32,161,291,nc_state_senate_district_17
wake_OSCH 41-80,1,100,17,nc_state_senate_district_17
wake_20-11,64,393,669,nc_state_senate_district_17
wake_OSHS 1-40,512,6960,5933,nc_state_senate_district_17
wake_OSLL 41-80,0,19,7,nc_state_senate_district_17
wake_OSOP 1-40,2,70,53,nc_state_senate_district_17
wake_44166,58,283,716,nc_state_senate_district_17
wake_43991,90,492,885,nc_state_senate_district_17
wake_43986,69,402,451,nc_state_senate_district_17
wake_OSFB 1-40,126,2226,1363,nc_state_senate_district_17
wake_OSAV 1-40,12,151,185,nc_state_senate_district_17
