prec_id,Harry Warren,election
rowan_32,893,nc_house_of_representatives_district_077
rowan_34,1057,nc_house_of_representatives_district_077
rowan_4,2358,nc_house_of_representatives_district_077
rowan_39,890,nc_house_of_representatives_district_077
rowan_21,1449,nc_house_of_representatives_district_077
rowan_11,1581,nc_house_of_representatives_district_077
rowan_29,757,nc_house_of_representatives_district_077
rowan_42,404,nc_house_of_representatives_district_077
rowan_8,1811,nc_house_of_representatives_district_077
rowan_44,1484,nc_house_of_representatives_district_077
rowan_7,979,nc_house_of_representatives_district_077
rowan_41,1139,nc_house_of_representatives_district_077
rowan_27,706,nc_house_of_representatives_district_077
rowan_28,972,nc_house_of_representatives_district_077
rowan_12,859,nc_house_of_representatives_district_077
rowan_14A,2396,nc_house_of_representatives_district_077
rowan_30,1086,nc_house_of_representatives_district_077
rowan_10,1650,nc_house_of_representatives_district_077
rowan_9,1293,nc_house_of_representatives_district_077
rowan_3,1494,nc_house_of_representatives_district_077
rowan_24,784,nc_house_of_representatives_district_077
rowan_40,1037,nc_house_of_representatives_district_077
rowan_45,620,nc_house_of_representatives_district_077
