prec_id,Carla Cunningham,Trey Lowe,election
mecklenburg_CURBSIDE,280,11,nc_house_of_representatives_district_106
mecklenburg_105,869,181,nc_house_of_representatives_district_106
mecklenburg_126,971,146,nc_house_of_representatives_district_106
mecklenburg_107.1,1093,237,nc_house_of_representatives_district_106
mecklenburg_27,335,18,nc_house_of_representatives_district_106
mecklenburg_135,1953,281,nc_house_of_representatives_district_106
mecklenburg_56,30,0,nc_house_of_representatives_district_106
mecklenburg_28,563,93,nc_house_of_representatives_district_106
mecklenburg_82,981,40,nc_house_of_representatives_district_106
mecklenburg_141,365,111,nc_house_of_representatives_district_106
mecklenburg_146,1169,207,nc_house_of_representatives_district_106
mecklenburg_42,1013,39,nc_house_of_representatives_district_106
mecklenburg_213,1362,163,nc_house_of_representatives_district_106
mecklenburg_26,1199,139,nc_house_of_representatives_district_106
mecklenburg_132,540,210,nc_house_of_representatives_district_106
