prec_id,Gale Adcock,Tom Murry,election
wake_ONESTOP,4497,3151,nc_house_of_representatives_district_041
wake_43954,484,608,nc_house_of_representatives_district_041
wake_43958,455,323,nc_house_of_representatives_district_041
wake_43934,838,704,nc_house_of_representatives_district_041
wake_43929,1,0,nc_house_of_representatives_district_041
wake_43940,92,77,nc_house_of_representatives_district_041
wake_43939,116,111,nc_house_of_representatives_district_041
wake_43952,689,695,nc_house_of_representatives_district_041
wake_43957,885,953,nc_house_of_representatives_district_041
wake_20-12,377,459,nc_house_of_representatives_district_041
wake_20-14,923,849,nc_house_of_representatives_district_041
wake_20-10,731,610,nc_house_of_representatives_district_041
wake_20-04,660,630,nc_house_of_representatives_district_041
wake_20-08,148,193,nc_house_of_representatives_district_041
wake_36586,470,655,nc_house_of_representatives_district_041
wake_43930,482,557,nc_house_of_representatives_district_041
wake_20-06A,196,307,nc_house_of_representatives_district_041
wake_20-11,509,724,nc_house_of_representatives_district_041
wake_20-13,1368,1325,nc_house_of_representatives_district_041
wake_20-06B,626,746,nc_house_of_representatives_district_041
