prec_id,Sam Watford,election
davidson_CURBSIDE,180,nc_house_of_representatives_district_080
davidson_74,1122,nc_house_of_representatives_district_080
davidson_44,1262,nc_house_of_representatives_district_080
davidson_64,168,nc_house_of_representatives_district_080
davidson_18,628,nc_house_of_representatives_district_080
davidson_56,423,nc_house_of_representatives_district_080
davidson_80A,1582,nc_house_of_representatives_district_080
davidson_86A,826,nc_house_of_representatives_district_080
davidson_88,895,nc_house_of_representatives_district_080
davidson_42,742,nc_house_of_representatives_district_080
davidson_68,497,nc_house_of_representatives_district_080
davidson_54,497,nc_house_of_representatives_district_080
davidson_14,538,nc_house_of_representatives_district_080
davidson_16,986,nc_house_of_representatives_district_080
davidson_20,809,nc_house_of_representatives_district_080
davidson_76,1057,nc_house_of_representatives_district_080
davidson_46,850,nc_house_of_representatives_district_080
davidson_62,207,nc_house_of_representatives_district_080
davidson_12,259,nc_house_of_representatives_district_080
davidson_72,827,nc_house_of_representatives_district_080
davidson_60,1042,nc_house_of_representatives_district_080
davidson_66,380,nc_house_of_representatives_district_080
