prec_id,Brian Turner,election
buncombe_OS ABTC,191,nc_house_of_representatives_district_116
buncombe_53.1,292,nc_house_of_representatives_district_116
buncombe_57.1,191,nc_house_of_representatives_district_116
buncombe_44.1,479,nc_house_of_representatives_district_116
buncombe_56.2,258,nc_house_of_representatives_district_116
buncombe_48.1,417,nc_house_of_representatives_district_116
buncombe_OS LCBL,2343,nc_house_of_representatives_district_116
buncombe_OS PCBC,1086,nc_house_of_representatives_district_116
buncombe_OS BTFD,37,nc_house_of_representatives_district_116
buncombe_68.1,522,nc_house_of_representatives_district_116
buncombe_47.1,623,nc_house_of_representatives_district_116
buncombe_OS WOCO,216,nc_house_of_representatives_district_116
buncombe_OS WABL,1269,nc_house_of_representatives_district_116
buncombe_OS UNCA,298,nc_house_of_representatives_district_116
buncombe_24.1,110,nc_house_of_representatives_district_116
buncombe_OS BMBL,62,nc_house_of_representatives_district_116
buncombe_OS SBBL,4292,nc_house_of_representatives_district_116
buncombe_OS WVTH,72,nc_house_of_representatives_district_116
buncombe_OS ECBL,4918,nc_house_of_representatives_district_116
buncombe_OS ACCC,1762,nc_house_of_representatives_district_116
buncombe_31.1,393,nc_house_of_representatives_district_116
buncombe_OS PACK,277,nc_house_of_representatives_district_116
buncombe_49.1,505,nc_house_of_representatives_district_116
buncombe_OS AVML,529,nc_house_of_representatives_district_116
buncombe_46.1,228,nc_house_of_representatives_district_116
buncombe_18.2,530,nc_house_of_representatives_district_116
buncombe_OS MORC,75,nc_house_of_representatives_district_116
buncombe_45.1,531,nc_house_of_representatives_district_116
buncombe_55.1,406,nc_house_of_representatives_district_116
buncombe_52.1,123,nc_house_of_representatives_district_116
buncombe_29.2,228,nc_house_of_representatives_district_116
buncombe_63.1,149,nc_house_of_representatives_district_116
buncombe_681,100,nc_house_of_representatives_district_116
buncombe_OS WGSC,208,nc_house_of_representatives_district_116
buncombe_69.1,418,nc_house_of_representatives_district_116
buncombe_ABSENTEE,0,nc_house_of_representatives_district_116
buncombe_OS FVBL,90,nc_house_of_representatives_district_116
buncombe_OS FCAM,164,nc_house_of_representatives_district_116
buncombe_OS NHPC,2204,nc_house_of_representatives_district_116
buncombe_30.3,303,nc_house_of_representatives_district_116
buncombe_19.1,16,nc_house_of_representatives_district_116
buncombe_54.2,520,nc_house_of_representatives_district_116
buncombe_OS NABL,282,nc_house_of_representatives_district_116
buncombe_30.2,296,nc_house_of_representatives_district_116
