prec_id,Dan Bishop,Eric Cable,election
mecklenburg_86,418,74,nc_house_of_representatives_district_104
mecklenburg_CURBSIDE,77,20,nc_house_of_representatives_district_104
mecklenburg_47,516,151,nc_house_of_representatives_district_104
mecklenburg_226,190,67,nc_house_of_representatives_district_104
mecklenburg_85,449,242,nc_house_of_representatives_district_104
mecklenburg_64,172,125,nc_house_of_representatives_district_104
mecklenburg_217,174,80,nc_house_of_representatives_district_104
mecklenburg_35,424,149,nc_house_of_representatives_district_104
mecklenburg_91,197,40,nc_house_of_representatives_district_104
mecklenburg_121,507,127,nc_house_of_representatives_district_104
mecklenburg_70,750,186,nc_house_of_representatives_district_104
mecklenburg_65,423,165,nc_house_of_representatives_district_104
mecklenburg_68,303,198,nc_house_of_representatives_district_104
mecklenburg_110,480,132,nc_house_of_representatives_district_104
mecklenburg_100,752,301,nc_house_of_representatives_district_104
mecklenburg_103,1049,367,nc_house_of_representatives_district_104
mecklenburg_119,419,172,nc_house_of_representatives_district_104
mecklenburg_71,728,146,nc_house_of_representatives_district_104
mecklenburg_90,440,170,nc_house_of_representatives_district_104
mecklenburg_36,751,260,nc_house_of_representatives_district_104
mecklenburg_67,499,173,nc_house_of_representatives_district_104
mecklenburg_69,1342,386,nc_house_of_representatives_district_104
mecklenburg_7,255,255,nc_house_of_representatives_district_104
mecklenburg_96,529,239,nc_house_of_representatives_district_104
mecklenburg_111,815,252,nc_house_of_representatives_district_104
mecklenburg_106,532,218,nc_house_of_representatives_district_104
mecklenburg_74,858,179,nc_house_of_representatives_district_104
mecklenburg_131,632,169,nc_house_of_representatives_district_104
mecklenburg_48,821,146,nc_house_of_representatives_district_104
mecklenburg_118,736,275,nc_house_of_representatives_district_104
mecklenburg_72,559,166,nc_house_of_representatives_district_104
mecklenburg_73,484,189,nc_house_of_representatives_district_104
mecklenburg_66,410,182,nc_house_of_representatives_district_104
