prec_id,Joe Langley,Ronald Rabin,election
harnett_PR28,468,1167,nc_state_senate_district_12
harnett_PR07,719,1012,nc_state_senate_district_12
harnett_PR31,248,179,nc_state_senate_district_12
harnett_PR16,523,656,nc_state_senate_district_12
harnett_ONESTOP,4897,5004,nc_state_senate_district_12
harnett_PR08,697,904,nc_state_senate_district_12
harnett_PR01,607,951,nc_state_senate_district_12
harnett_PR29,529,839,nc_state_senate_district_12
harnett_PR24,512,1095,nc_state_senate_district_12
harnett_PR26,443,785,nc_state_senate_district_12
harnett_PR32,336,487,nc_state_senate_district_12
harnett_PR20,503,278,nc_state_senate_district_12
harnett_PR23,491,567,nc_state_senate_district_12
harnett_PR25,633,559,nc_state_senate_district_12
johnston_PR31B,253,512,nc_state_senate_district_12
johnston_PR33,392,1028,nc_state_senate_district_12
johnston_PR14,91,281,nc_state_senate_district_12
johnston_PR23A,156,365,nc_state_senate_district_12
johnston_PR35,436,757,nc_state_senate_district_12
johnston_PR13,15,65,nc_state_senate_district_12
johnston_PR23B,486,991,nc_state_senate_district_12
lee_ONESTOP,4275,3945,nc_state_senate_district_12
lee_C1,287,406,nc_state_senate_district_12
lee_E1,287,430,nc_state_senate_district_12
lee_B2,212,244,nc_state_senate_district_12
lee_D2,348,521,nc_state_senate_district_12
lee_C2,218,462,nc_state_senate_district_12
lee_E2,288,237,nc_state_senate_district_12
lee_A1,396,308,nc_state_senate_district_12
lee_A2,506,241,nc_state_senate_district_12
lee_B1,191,373,nc_state_senate_district_12
lee_D1,314,551,nc_state_senate_district_12
