prec_id,Joe Thompson,Yvonne Lewis Holley,election
wake_43858,155,1044,nc_house_of_representatives_district_038
wake_43844,18,97,nc_house_of_representatives_district_038
wake_43849,20,539,nc_house_of_representatives_district_038
wake_16072,44,164,nc_house_of_representatives_district_038
wake_16803,134,672,nc_house_of_representatives_district_038
wake_17-04,10,57,nc_house_of_representatives_district_038
wake_17-05,411,910,nc_house_of_representatives_district_038
wake_17-07,147,661,nc_house_of_representatives_district_038
wake_17-10,183,248,nc_house_of_representatives_district_038
wake_13-09,387,941,nc_house_of_representatives_district_038
wake_17-01,302,586,nc_house_of_representatives_district_038
wake_ONESTOP,855,6071,nc_house_of_representatives_district_038
wake_12420,22,478,nc_house_of_representatives_district_038
wake_13-05,214,384,nc_house_of_representatives_district_038
wake_13-08,185,635,nc_house_of_representatives_district_038
wake_17-08,132,288,nc_house_of_representatives_district_038
wake_14611,59,1096,nc_house_of_representatives_district_038
wake_13881,35,83,nc_house_of_representatives_district_038
wake_13-01,112,630,nc_house_of_representatives_district_038
wake_17-11,335,786,nc_house_of_representatives_district_038
wake_17-03,146,355,nc_house_of_representatives_district_038
wake_43843,44,148,nc_house_of_representatives_district_038
wake_13-07,338,469,nc_house_of_representatives_district_038
