prec_id,Andy Hedrick,Larry W. Potts,election
davidson_10,552,1017,nc_house_of_representatives_district_081
davidson_40,638,593,nc_house_of_representatives_district_081
davidson_6,403,1292,nc_house_of_representatives_district_081
davidson_24,240,584,nc_house_of_representatives_district_081
davidson_26,211,441,nc_house_of_representatives_district_081
davidson_50,383,1817,nc_house_of_representatives_district_081
davidson_30,854,194,nc_house_of_representatives_district_081
davidson_CURBSIDE,0,0,nc_house_of_representatives_district_081
davidson_8,288,422,nc_house_of_representatives_district_081
davidson_22,138,422,nc_house_of_representatives_district_081
davidson_82,396,1284,nc_house_of_representatives_district_081
davidson_70,299,1185,nc_house_of_representatives_district_081
davidson_48,329,1300,nc_house_of_representatives_district_081
davidson_34,518,475,nc_house_of_representatives_district_081
davidson_32,361,269,nc_house_of_representatives_district_081
davidson_4,849,2772,nc_house_of_representatives_district_081
davidson_58,555,1381,nc_house_of_representatives_district_081
davidson_38,477,111,nc_house_of_representatives_district_081
davidson_ABSENTEE,514,1170,nc_house_of_representatives_district_081
davidson_52,921,1852,nc_house_of_representatives_district_081
davidson_36,448,276,nc_house_of_representatives_district_081
davidson_84,754,2392,nc_house_of_representatives_district_081
davidson_78,474,1567,nc_house_of_representatives_district_081
davidson_28,462,1056,nc_house_of_representatives_district_081
