prec_id,G. K. Butterfield,"H. Powell Dew, Jr.",J.J. Summerell,election
bertie_SN,148,29,3,us_house_of_representatives_district_1
bertie_ABSENTEE,89,53,5,us_house_of_representatives_district_1
bertie_OS-POW,978,385,14,us_house_of_representatives_district_1
bertie_OS-LOB,2624,1139,42,us_house_of_representatives_district_1
bertie_C2,159,48,0,us_house_of_representatives_district_1
bertie_WH,149,149,2,us_house_of_representatives_district_1
bertie_IW,121,10,3,us_house_of_representatives_district_1
bertie_M1,123,121,5,us_house_of_representatives_district_1
bertie_C1,123,145,4,us_house_of_representatives_district_1
bertie_WD,285,28,4,us_house_of_representatives_district_1
bertie_MH,111,107,1,us_house_of_representatives_district_1
bertie_W2,49,211,3,us_house_of_representatives_district_1
bertie_M2,217,115,6,us_house_of_representatives_district_1
bertie_W1,485,193,9,us_house_of_representatives_district_1
bertie_RX,363,100,5,us_house_of_representatives_district_1
durham_37,362,375,38,us_house_of_representatives_district_1
durham_21,283,71,12,us_house_of_representatives_district_1
durham_30-1,431,216,34,us_house_of_representatives_district_1
durham_22,720,47,20,us_house_of_representatives_district_1
durham_2,382,79,30,us_house_of_representatives_district_1
durham_5,406,118,29,us_house_of_representatives_district_1
durham_OS-FRONT,778,209,60,us_house_of_representatives_district_1
durham_55-11,391,11,8,us_house_of_representatives_district_1
durham_44,238,256,34,us_house_of_representatives_district_1
durham_42,224,4,1,us_house_of_representatives_district_1
durham_29,417,282,28,us_house_of_representatives_district_1
durham_48,246,128,11,us_house_of_representatives_district_1
durham_OS-ERL,10119,3614,387,us_house_of_representatives_district_1
durham_8,390,40,25,us_house_of_representatives_district_1
durham_OS-NRL,11771,6439,501,us_house_of_representatives_district_1
durham_54,501,162,42,us_house_of_representatives_district_1
durham_14,308,20,10,us_house_of_representatives_district_1
durham_16,259,141,25,us_house_of_representatives_district_1
durham_19,495,95,31,us_house_of_representatives_district_1
durham_OS-BOE,16646,1031,341,us_house_of_representatives_district_1
durham_OS-DTC,1403,148,53,us_house_of_representatives_district_1
durham_ABSENTEE,3486,1126,146,us_house_of_representatives_district_1
durham_39,313,314,27,us_house_of_representatives_district_1
durham_38,466,221,45,us_house_of_representatives_district_1
durham_1,194,23,10,us_house_of_representatives_district_1
durham_20,257,31,14,us_house_of_representatives_district_1
durham_34-1,299,90,19,us_house_of_representatives_district_1
durham_34-2,507,108,25,us_house_of_representatives_district_1
durham_43,412,316,37,us_house_of_representatives_district_1
durham_OS-NJBC,2204,167,50,us_house_of_representatives_district_1
durham_OS-DTCN,629,648,48,us_house_of_representatives_district_1
durham_41,286,5,2,us_house_of_representatives_district_1
durham_46,420,131,31,us_house_of_representatives_district_1
durham_47,292,9,4,us_house_of_representatives_district_1
durham_4,313,70,15,us_house_of_representatives_district_1
durham_7,265,44,20,us_house_of_representatives_district_1
durham_25,137,228,24,us_house_of_representatives_district_1
durham_OS-IVY,3844,414,77,us_house_of_representatives_district_1
durham_OS-ENO,12121,2943,393,us_house_of_representatives_district_1
durham_10,244,12,8,us_house_of_representatives_district_1
durham_45,301,306,46,us_house_of_representatives_district_1
durham_6,271,31,16,us_house_of_representatives_district_1
durham_3,315,86,15,us_house_of_representatives_district_1
durham_40,263,58,15,us_house_of_representatives_district_1
durham_24,402,295,30,us_house_of_representatives_district_1
durham_23,566,116,29,us_house_of_representatives_district_1
durham_9,346,116,18,us_house_of_representatives_district_1
durham_33,0,0,0,us_house_of_representatives_district_1
durham_OS-DUKE,6517,1077,241,us_house_of_representatives_district_1
