prec_id,Jason R. Saine,Rosemary B. Hubbard,election
lincoln_LW31,588,179,nc_house_of_representatives_district_097
lincoln_PC22,375,88,nc_house_of_representatives_district_097
lincoln_IS20,458,110,nc_house_of_representatives_district_097
lincoln_ONESTOP,5558,2977,nc_house_of_representatives_district_097
lincoln_AS25,594,201,nc_house_of_representatives_district_097
lincoln_DN29,452,94,nc_house_of_representatives_district_097
lincoln_NB35,718,260,nc_house_of_representatives_district_097
lincoln_BS26,410,146,nc_house_of_representatives_district_097
lincoln_LS12,188,199,nc_house_of_representatives_district_097
lincoln_DV08,628,199,nc_house_of_representatives_district_097
lincoln_DW28,376,107,nc_house_of_representatives_district_097
lincoln_LN11,230,216,nc_house_of_representatives_district_097
lincoln_LI14,316,160,nc_house_of_representatives_district_097
lincoln_LW18,217,88,nc_house_of_representatives_district_097
lincoln_HC33,649,301,nc_house_of_representatives_district_097
lincoln_TA37,562,158,nc_house_of_representatives_district_097
lincoln_IS23,522,222,nc_house_of_representatives_district_097
lincoln_CF19,363,69,nc_house_of_representatives_district_097
lincoln_ST36,598,211,nc_house_of_representatives_district_097
lincoln_WP32,767,220,nc_house_of_representatives_district_097
lincoln_OB21,436,85,nc_house_of_representatives_district_097
lincoln_SL24,446,148,nc_house_of_representatives_district_097
lincoln_LB34,601,205,nc_house_of_representatives_district_097
lincoln_BC13,198,141,nc_house_of_representatives_district_097
