prec_id,Marvin W. Lucas,election
cumberland_ABSENTEE 31-57,17,nc_house_of_representatives_district_042
cumberland_G8A,699,nc_house_of_representatives_district_042
cumberland_AH49,1341,nc_house_of_representatives_district_042
cumberland_MB62,1310,nc_house_of_representatives_district_042
cumberland_CC27,1350,nc_house_of_representatives_district_042
cumberland_CC03,423,nc_house_of_representatives_district_042
cumberland_G11B,101,nc_house_of_representatives_district_042
cumberland_G11A-2,742,nc_house_of_representatives_district_042
cumberland_CC31,258,nc_house_of_representatives_district_042
cumberland_CL57-2,1558,nc_house_of_representatives_district_042
cumberland_LR63,2097,nc_house_of_representatives_district_042
cumberland_CC33,1037,nc_house_of_representatives_district_042
cumberland_CL57-1,1446,nc_house_of_representatives_district_042
cumberland_G5B-1,1286,nc_house_of_representatives_district_042
cumberland_G5C,1019,nc_house_of_representatives_district_042
cumberland_CC29,619,nc_house_of_representatives_district_042
cumberland_G5A-1,1305,nc_house_of_representatives_district_042
cumberland_MR02,711,nc_house_of_representatives_district_042
cumberland_G5A-2,1065,nc_house_of_representatives_district_042
cumberland_ABSENTEE 1-30,533,nc_house_of_representatives_district_042
cumberland_G5B-2,1235,nc_house_of_representatives_district_042
cumberland_CC17,3,nc_house_of_representatives_district_042
cumberland_G10A,134,nc_house_of_representatives_district_042
cumberland_G11A-1,977,nc_house_of_representatives_district_042
cumberland_CC32,553,nc_house_of_representatives_district_042
cumberland_CC25,222,nc_house_of_representatives_district_042
cumberland_CC26,901,nc_house_of_representatives_district_042
cumberland_G2E-2,145,nc_house_of_representatives_district_042
