prec_id,Marvin W. Lucas,election
cumberland_MR02,455,nc_house_of_representatives_district_042
cumberland_CC03,192,nc_house_of_representatives_district_042
cumberland_G5C,601,nc_house_of_representatives_district_042
cumberland_G11A-2,535,nc_house_of_representatives_district_042
cumberland_ONESTOP,359,nc_house_of_representatives_district_042
cumberland_CC33,647,nc_house_of_representatives_district_042
cumberland_G5A-1,851,nc_house_of_representatives_district_042
cumberland_CC31,142,nc_house_of_representatives_district_042
cumberland_CC27,580,nc_house_of_representatives_district_042
cumberland_G8A,416,nc_house_of_representatives_district_042
cumberland_CC25,146,nc_house_of_representatives_district_042
cumberland_CC26,624,nc_house_of_representatives_district_042
cumberland_CC32,365,nc_house_of_representatives_district_042
cumberland_AH49,790,nc_house_of_representatives_district_042
cumberland_G11A-1,569,nc_house_of_representatives_district_042
cumberland_G11B,62,nc_house_of_representatives_district_042
cumberland_CC29,381,nc_house_of_representatives_district_042
cumberland_G2E-2,65,nc_house_of_representatives_district_042
cumberland_G10A,70,nc_house_of_representatives_district_042
cumberland_G5A-2,615,nc_house_of_representatives_district_042
cumberland_CL57-2,871,nc_house_of_representatives_district_042
cumberland_G5B-2,725,nc_house_of_representatives_district_042
cumberland_LR63,1145,nc_house_of_representatives_district_042
cumberland_CC17,2,nc_house_of_representatives_district_042
cumberland_G5B-1,828,nc_house_of_representatives_district_042
cumberland_MB62,639,nc_house_of_representatives_district_042
cumberland_CL57-1,840,nc_house_of_representatives_district_042
