prec_id,Alma Adams,Vince Coakley,election
cabarrus_36586,505,1185,us_house_of_representatives_district_12_(unexpired_term)
cabarrus_43870,1056,1195,us_house_of_representatives_district_12_(unexpired_term)
cabarrus_ONESTOP,6,5,us_house_of_representatives_district_12_(unexpired_term)
cabarrus_43869,901,1263,us_house_of_representatives_district_12_(unexpired_term)
davidson_28,251,644,us_house_of_representatives_district_12_(unexpired_term)
davidson_32,232,167,us_house_of_representatives_district_12_(unexpired_term)
davidson_38,307,57,us_house_of_representatives_district_12_(unexpired_term)
davidson_36,311,186,us_house_of_representatives_district_12_(unexpired_term)
davidson_10,6,16,us_house_of_representatives_district_12_(unexpired_term)
davidson_30,653,100,us_house_of_representatives_district_12_(unexpired_term)
davidson_6,204,673,us_house_of_representatives_district_12_(unexpired_term)
davidson_CURBSIDE,54,65,us_house_of_representatives_district_12_(unexpired_term)
davidson_22,83,235,us_house_of_representatives_district_12_(unexpired_term)
davidson_70,172,721,us_house_of_representatives_district_12_(unexpired_term)
davidson_64,430,104,us_house_of_representatives_district_12_(unexpired_term)
davidson_80A,299,1556,us_house_of_representatives_district_12_(unexpired_term)
davidson_62,328,144,us_house_of_representatives_district_12_(unexpired_term)
davidson_72,152,854,us_house_of_representatives_district_12_(unexpired_term)
forsyth_42,593,632,us_house_of_representatives_district_12_(unexpired_term)
forsyth_203,592,20,us_house_of_representatives_district_12_(unexpired_term)
forsyth_206,676,75,us_house_of_representatives_district_12_(unexpired_term)
forsyth_404,652,86,us_house_of_representatives_district_12_(unexpired_term)
forsyth_405,494,14,us_house_of_representatives_district_12_(unexpired_term)
forsyth_302,450,15,us_house_of_representatives_district_12_(unexpired_term)
forsyth_304,1014,21,us_house_of_representatives_district_12_(unexpired_term)
forsyth_402,588,10,us_house_of_representatives_district_12_(unexpired_term)
forsyth_501,893,67,us_house_of_representatives_district_12_(unexpired_term)
forsyth_204,560,38,us_house_of_representatives_district_12_(unexpired_term)
forsyth_401,658,46,us_house_of_representatives_district_12_(unexpired_term)
forsyth_403,558,30,us_house_of_representatives_district_12_(unexpired_term)
forsyth_301,350,4,us_house_of_representatives_district_12_(unexpired_term)
forsyth_303,280,6,us_house_of_representatives_district_12_(unexpired_term)
forsyth_504,378,54,us_house_of_representatives_district_12_(unexpired_term)
forsyth_505,520,134,us_house_of_representatives_district_12_(unexpired_term)
forsyth_205,332,4,us_house_of_representatives_district_12_(unexpired_term)
forsyth_502,576,23,us_house_of_representatives_district_12_(unexpired_term)
forsyth_305,710,17,us_house_of_representatives_district_12_(unexpired_term)
guilford_FEN1,1303,483,us_house_of_representatives_district_12_(unexpired_term)
guilford_G43,627,344,us_house_of_representatives_district_12_(unexpired_term)
guilford_H17,305,134,us_house_of_representatives_district_12_(unexpired_term)
guilford_SUM1,669,362,us_house_of_representatives_district_12_(unexpired_term)
guilford_CURBSIDE,312,37,us_house_of_representatives_district_12_(unexpired_term)
guilford_H01,345,170,us_house_of_representatives_district_12_(unexpired_term)
guilford_MON2A,924,373,us_house_of_representatives_district_12_(unexpired_term)
guilford_H03,341,111,us_house_of_representatives_district_12_(unexpired_term)
guilford_G61,650,159,us_house_of_representatives_district_12_(unexpired_term)
guilford_G64,288,123,us_house_of_representatives_district_12_(unexpired_term)
guilford_JEF3,1634,275,us_house_of_representatives_district_12_(unexpired_term)
guilford_H12,333,160,us_house_of_representatives_district_12_(unexpired_term)
guilford_JAM3,0,1,us_house_of_representatives_district_12_(unexpired_term)
guilford_MON2B,560,281,us_house_of_representatives_district_12_(unexpired_term)
guilford_G47,673,163,us_house_of_representatives_district_12_(unexpired_term)
guilford_G60,463,190,us_house_of_representatives_district_12_(unexpired_term)
guilford_G69,870,81,us_house_of_representatives_district_12_(unexpired_term)
