prec_id,Ken Goodman,election
hoke_15,958,nc_house_of_representatives_district_066
hoke_12,1418,nc_house_of_representatives_district_066
hoke_4,219,nc_house_of_representatives_district_066
hoke_5,273,nc_house_of_representatives_district_066
hoke_2,309,nc_house_of_representatives_district_066
hoke_14,1775,nc_house_of_representatives_district_066
hoke_63,19,nc_house_of_representatives_district_066
hoke_06B,1659,nc_house_of_representatives_district_066
hoke_13,504,nc_house_of_representatives_district_066
montgomery_MTG,854,nc_house_of_representatives_district_066
montgomery_CHE,283,nc_house_of_representatives_district_066
montgomery_ROC,417,nc_house_of_representatives_district_066
richmond_10,131,nc_house_of_representatives_district_066
richmond_11,149,nc_house_of_representatives_district_066
richmond_ABSENTEE,132,nc_house_of_representatives_district_066
richmond_9,598,nc_house_of_representatives_district_066
richmond_13,218,nc_house_of_representatives_district_066
richmond_6,283,nc_house_of_representatives_district_066
richmond_3,195,nc_house_of_representatives_district_066
richmond_14,74,nc_house_of_representatives_district_066
richmond_2,694,nc_house_of_representatives_district_066
richmond_8,124,nc_house_of_representatives_district_066
richmond_5,82,nc_house_of_representatives_district_066
richmond_16,73,nc_house_of_representatives_district_066
richmond_15,53,nc_house_of_representatives_district_066
richmond_1,312,nc_house_of_representatives_district_066
richmond_12,180,nc_house_of_representatives_district_066
richmond_4,209,nc_house_of_representatives_district_066
richmond_7,49,nc_house_of_representatives_district_066
robeson_OS PEMBROKE,5,nc_house_of_representatives_district_066
robeson_OS FAIRMONT,1,nc_house_of_representatives_district_066
robeson_OS MAXTON,4,nc_house_of_representatives_district_066
robeson_OS ST PAULS,681,nc_house_of_representatives_district_066
robeson_OS RED SPRINGS,29,nc_house_of_representatives_district_066
robeson_ABSENTEE,37,nc_house_of_representatives_district_066
robeson_32A,404,nc_house_of_representatives_district_066
robeson_21,554,nc_house_of_representatives_district_066
robeson_10,195,nc_house_of_representatives_district_066
robeson_OS LUMBERTON BOE,231,nc_house_of_representatives_district_066
scotland_1,23,nc_house_of_representatives_district_066
scotland_2,0,nc_house_of_representatives_district_066
scotland_8,155,nc_house_of_representatives_district_066
scotland_10,169,nc_house_of_representatives_district_066
scotland_9,354,nc_house_of_representatives_district_066
scotland_3,274,nc_house_of_representatives_district_066
scotland_4,344,nc_house_of_representatives_district_066
scotland_ABSENTEE,102,nc_house_of_representatives_district_066
