prec_id,Brian Mountcastle,Chris Malone,election
wake_17-04,113,139,nc_house_of_representatives_district_035
wake_44075,303,576,nc_house_of_representatives_district_035
wake_ONESTOP,4435,3710,nc_house_of_representatives_district_035
wake_44106,528,595,nc_house_of_representatives_district_035
wake_19-04,923,1398,nc_house_of_representatives_district_035
wake_17-02,134,138,nc_house_of_representatives_district_035
wake_19-12,502,881,nc_house_of_representatives_district_035
wake_19-15,299,470,nc_house_of_representatives_district_035
wake_19-13,337,361,nc_house_of_representatives_district_035
wake_13-06,182,210,nc_house_of_representatives_district_035
wake_19-11,357,491,nc_house_of_representatives_district_035
wake_19-14,294,569,nc_house_of_representatives_district_035
wake_13-10,937,1273,nc_house_of_representatives_district_035
wake_44077,333,669,nc_house_of_representatives_district_035
wake_19-09,473,973,nc_house_of_representatives_district_035
wake_44105,131,332,nc_house_of_representatives_district_035
wake_19-16,448,559,nc_house_of_representatives_district_035
wake_19-10,818,1463,nc_house_of_representatives_district_035
wake_19-07,326,376,nc_house_of_representatives_district_035
