prec_id,John Worth Wiles,Sarah Stevens,election
surry_21,216,648,nc_house_of_representatives_district_090
surry_9,156,337,nc_house_of_representatives_district_090
surry_6,320,283,nc_house_of_representatives_district_090
surry_3,322,583,nc_house_of_representatives_district_090
surry_13,197,343,nc_house_of_representatives_district_090
surry_18,203,625,nc_house_of_representatives_district_090
surry_10,100,335,nc_house_of_representatives_district_090
surry_33,221,366,nc_house_of_representatives_district_090
surry_23,179,390,nc_house_of_representatives_district_090
surry_24,97,280,nc_house_of_representatives_district_090
surry_26,261,659,nc_house_of_representatives_district_090
surry_12,280,434,nc_house_of_representatives_district_090
surry_15,196,382,nc_house_of_representatives_district_090
surry_4,306,563,nc_house_of_representatives_district_090
surry_7,249,252,nc_house_of_representatives_district_090
surry_17,108,322,nc_house_of_representatives_district_090
surry_2,122,131,nc_house_of_representatives_district_090
surry_5,152,768,nc_house_of_representatives_district_090
surry_14,240,509,nc_house_of_representatives_district_090
surry_16,127,399,nc_house_of_representatives_district_090
surry_19,263,542,nc_house_of_representatives_district_090
surry_11,174,312,nc_house_of_representatives_district_090
surry_22,181,363,nc_house_of_representatives_district_090
surry_8,273,439,nc_house_of_representatives_district_090
surry_20,151,251,nc_house_of_representatives_district_090
surry_CURBSIDE,59,88,nc_house_of_representatives_district_090
surry_25,199,458,nc_house_of_representatives_district_090
surry_1,240,524,nc_house_of_representatives_district_090
surry_27,157,432,nc_house_of_representatives_district_090
surry_28,93,372,nc_house_of_representatives_district_090
wilkes_107,58,133,nc_house_of_representatives_district_090
wilkes_ONESTOP,24,66,nc_house_of_representatives_district_090
wilkes_124,120,297,nc_house_of_representatives_district_090
