prec_id,David Lewis,Susan Byerly,election
harnett_PR07,670,422,nc_house_of_representatives_district_053
harnett_PR31,193,235,nc_house_of_representatives_district_053
harnett_ONESTOP,3754,3562,nc_house_of_representatives_district_053
harnett_PR08,973,617,nc_house_of_representatives_district_053
harnett_PR01,916,641,nc_house_of_representatives_district_053
harnett_PR29,833,553,nc_house_of_representatives_district_053
harnett_PR24,1137,478,nc_house_of_representatives_district_053
harnett_PR26,705,545,nc_house_of_representatives_district_053
harnett_PR32,499,330,nc_house_of_representatives_district_053
harnett_PR20,277,507,nc_house_of_representatives_district_053
harnett_PR25,583,629,nc_house_of_representatives_district_053
