prec_id,Harry Brown,election
jones_P03,197,nc_state_senate_district_06
jones_P06,204,nc_state_senate_district_06
jones_P02,161,nc_state_senate_district_06
jones_P05,297,nc_state_senate_district_06
jones_P07,384,nc_state_senate_district_06
jones_ONESTOP,798,nc_state_senate_district_06
jones_P01,213,nc_state_senate_district_06
jones_P04,536,nc_state_senate_district_06
onslow_BC21,954,nc_state_senate_district_06
onslow_FS16,708,nc_state_senate_district_06
onslow_NR02,86,nc_state_senate_district_06
onslow_ONESTOP,8324,nc_state_senate_district_06
onslow_SW19,1358,nc_state_senate_district_06
onslow_NM13,323,nc_state_senate_district_06
onslow_NE22B,793,nc_state_senate_district_06
onslow_HM05,615,nc_state_senate_district_06
onslow_HR17,407,nc_state_senate_district_06
onslow_VR15,293,nc_state_senate_district_06
onslow_WN04,818,nc_state_senate_district_06
onslow_CL10,481,nc_state_senate_district_06
onslow_CR07,694,nc_state_senate_district_06
onslow_HN14,419,nc_state_senate_district_06
onslow_ML23,269,nc_state_senate_district_06
onslow_NE22A,413,nc_state_senate_district_06
onslow_RL09,720,nc_state_senate_district_06
onslow_JA01,382,nc_state_senate_district_06
onslow_HU20,617,nc_state_senate_district_06
onslow_GB12,591,nc_state_senate_district_06
onslow_TL06,528,nc_state_senate_district_06
onslow_SF18,863,nc_state_senate_district_06
onslow_BM08,896,nc_state_senate_district_06
onslow_EN03,967,nc_state_senate_district_06
onslow_MT24,479,nc_state_senate_district_06
