prec_id,Brad Hessel,John Alexander,Laurel Deegan-Fricke,election
wake_15342,31,522,244,nc_state_senate_district_15
wake_OSZB 41-80,2,6,17,nc_state_senate_district_15
wake_TRANS 81-91,0,0,0,nc_state_senate_district_15
wake_13-11,39,462,294,nc_state_senate_district_15
wake_OSLOB 1-40,89,1067,2043,nc_state_senate_district_15
wake_OSWA 1-40,7,33,64,nc_state_senate_district_15
wake_OSWA 81-91,0,0,0,nc_state_senate_district_15
wake_OSCB 41-80,3,16,45,nc_state_senate_district_15
wake_OSZB 81-91,0,1,0,nc_state_senate_district_15
wake_TRANS 41-80,0,0,0,nc_state_senate_district_15
wake_OSHS 81-91,0,0,0,nc_state_senate_district_15
wake_OSKD 81-91,0,0,0,nc_state_senate_district_15
wake_OSCA 1-40,22,145,296,nc_state_senate_district_15
wake_OSFV 1-40,2,18,7,nc_state_senate_district_15
wake_44051,70,709,416,nc_state_senate_district_15
wake_14-02,81,1525,471,nc_state_senate_district_15
wake_14246,49,226,310,nc_state_senate_district_15
wake_43862,43,685,355,nc_state_senate_district_15
wake_43841,19,685,183,nc_state_senate_district_15
wake_43848,31,358,209,nc_state_senate_district_15
wake_43865,37,545,217,nc_state_senate_district_15
wake_OSWD 81-91,0,0,0,nc_state_senate_district_15
wake_OSWD 1-40,3,45,35,nc_state_senate_district_15
wake_19-03,65,637,300,nc_state_senate_district_15
wake_OSCH 81-91,0,1,3,nc_state_senate_district_15
wake_OSAB 1-40,317,3931,3594,nc_state_senate_district_15
wake_OSHS 41-80,1,4,3,nc_state_senate_district_15
wake_PROVI 81-91,0,2,2,nc_state_senate_district_15
wake_44023,20,263,182,nc_state_senate_district_15
wake_44017,34,302,261,nc_state_senate_district_15
wake_07-07A,4,217,178,nc_state_senate_district_15
wake_OSKD 1-40,3,42,44,nc_state_senate_district_15
wake_OSGR 1-40,50,530,802,nc_state_senate_district_15
wake_OSFV 41-80,0,1,2,nc_state_senate_district_15
wake_44047,37,438,235,nc_state_senate_district_15
wake_44050,65,618,346,nc_state_senate_district_15
wake_44052,41,291,266,nc_state_senate_district_15
wake_44045,62,568,446,nc_state_senate_district_15
wake_19-13,27,329,268,nc_state_senate_district_15
wake_43863,84,1147,493,nc_state_senate_district_15
wake_43866,19,311,158,nc_state_senate_district_15
wake_43840,23,373,339,nc_state_senate_district_15
wake_43845,33,350,260,nc_state_senate_district_15
wake_OSCH 41-80,2,12,102,nc_state_senate_district_15
wake_OSAB 81-91,2,35,48,nc_state_senate_district_15
wake_OSHS 1-40,1,15,19,nc_state_senate_district_15
wake_OSLL 41-80,83,1022,1700,nc_state_senate_district_15
wake_OSOP 1-40,422,4158,4636,nc_state_senate_district_15
wake_43867,23,657,205,nc_state_senate_district_15
wake_OSFB 1-40,17,107,168,nc_state_senate_district_15
wake_OSFB 81-91,0,0,0,nc_state_senate_district_15
wake_OSAV 1-40,5,66,93,nc_state_senate_district_15
wake_OSNB 81-91,0,0,1,nc_state_senate_district_15
