prec_id,Donna McDowell White,Rich Nixon,election
johnston_PR34,516,463,nc_house_of_representatives_district_026
johnston_PR12B,555,294,nc_house_of_representatives_district_026
johnston_PR10A,252,282,nc_house_of_representatives_district_026
johnston_PR09,579,308,nc_house_of_representatives_district_026
johnston_PR29A,551,275,nc_house_of_representatives_district_026
johnston_PR27B,340,263,nc_house_of_representatives_district_026
johnston_PR10B,342,120,nc_house_of_representatives_district_026
johnston_PR20,701,436,nc_house_of_representatives_district_026
johnston_PR11A,395,217,nc_house_of_representatives_district_026
johnston_PR27A,170,170,nc_house_of_representatives_district_026
johnston_PR28,488,284,nc_house_of_representatives_district_026
johnston_PR30,549,329,nc_house_of_representatives_district_026
johnston_PR12A,516,254,nc_house_of_representatives_district_026
johnston_PR32,556,229,nc_house_of_representatives_district_026
johnston_PR31B,164,86,nc_house_of_representatives_district_026
johnston_PR29B,812,432,nc_house_of_representatives_district_026
johnston_PR11B,456,307,nc_house_of_representatives_district_026
