prec_id,Elissa Fuchs,Paul Luebke,election
durham_37,368,324,nc_house_of_representatives_district_030
durham_35.3,279,365,nc_house_of_representatives_district_030
durham_30-1,159,188,nc_house_of_representatives_district_030
durham_5,120,413,nc_house_of_representatives_district_030
durham_OS-FRONT,434,880,nc_house_of_representatives_district_030
durham_48,118,181,nc_house_of_representatives_district_030
durham_OS-ERL,1040,2193,nc_house_of_representatives_district_030
durham_OS-NRL,1134,1576,nc_house_of_representatives_district_030
durham_53-1,177,175,nc_house_of_representatives_district_030
durham_OS-BOE,436,3393,nc_house_of_representatives_district_030
durham_OS-DTC,72,312,nc_house_of_representatives_district_030
durham_ABSENTEE,685,1855,nc_house_of_representatives_district_030
durham_39,303,222,nc_house_of_representatives_district_030
durham_38,173,275,nc_house_of_representatives_district_030
durham_43,335,398,nc_house_of_representatives_district_030
durham_OS-NJBC,37,131,nc_house_of_representatives_district_030
durham_OS-DTCN,16,44,nc_house_of_representatives_district_030
durham_4,83,304,nc_house_of_representatives_district_030
durham_OS-IVY,125,500,nc_house_of_representatives_district_030
durham_OS-ENO,2652,9381,nc_house_of_representatives_district_030
durham_6,31,206,nc_house_of_representatives_district_030
durham_3,85,317,nc_house_of_representatives_district_030
durham_24,190,124,nc_house_of_representatives_district_030
durham_33,291,463,nc_house_of_representatives_district_030
durham_OS-DUKE,794,3873,nc_house_of_representatives_district_030
durham_OS-SRL,1778,6775,nc_house_of_representatives_district_030
durham_50,277,494,nc_house_of_representatives_district_030
durham_31,231,240,nc_house_of_representatives_district_030
durham_OS-NCCU,18,425,nc_house_of_representatives_district_030
durham_OS-GETG,16,111,nc_house_of_representatives_district_030
durham_27,220,266,nc_house_of_representatives_district_030
durham_51,85,128,nc_house_of_representatives_district_030
durham_53-2,314,412,nc_house_of_representatives_district_030
