prec_id,Donny C. Lambeth,election
forsyth_507,1106,nc_house_of_representatives_district_075
forsyth_601,102,nc_house_of_representatives_district_075
forsyth_604,202,nc_house_of_representatives_district_075
forsyth_702,633,nc_house_of_representatives_district_075
forsyth_51,1282,nc_house_of_representatives_district_075
forsyth_709,1121,nc_house_of_representatives_district_075
forsyth_ABS/PROV/CURB 4,25,nc_house_of_representatives_district_075
forsyth_11,2280,nc_house_of_representatives_district_075
forsyth_122,685,nc_house_of_representatives_district_075
forsyth_65,1867,nc_house_of_representatives_district_075
forsyth_63,1929,nc_house_of_representatives_district_075
forsyth_ABS/PROV/CURB 2,72,nc_house_of_representatives_district_075
forsyth_53,1289,nc_house_of_representatives_district_075
forsyth_14,1070,nc_house_of_representatives_district_075
forsyth_43,812,nc_house_of_representatives_district_075
forsyth_705,522,nc_house_of_representatives_district_075
forsyth_602,409,nc_house_of_representatives_district_075
forsyth_607,697,nc_house_of_representatives_district_075
forsyth_52,646,nc_house_of_representatives_district_075
forsyth_ABS/PROV/CURB 3,892,nc_house_of_representatives_district_075
forsyth_708,1373,nc_house_of_representatives_district_075
forsyth_12,1343,nc_house_of_representatives_district_075
forsyth_15,987,nc_house_of_representatives_district_075
forsyth_55,1751,nc_house_of_representatives_district_075
forsyth_704,651,nc_house_of_representatives_district_075
forsyth_703,459,nc_house_of_representatives_district_075
forsyth_54,1357,nc_house_of_representatives_district_075
forsyth_13,1859,nc_house_of_representatives_district_075
forsyth_ABS/PROV/CURB 1,2386,nc_house_of_representatives_district_075
forsyth_42,1024,nc_house_of_representatives_district_075
