prec_id,Jean Farmer-Butterfield,election
pitt_ABSENTEE #2,73,nc_house_of_representatives_district_024
pitt_OS WILLIS BUILDING #2,530,nc_house_of_representatives_district_024
pitt_1201,124,nc_house_of_representatives_district_024
pitt_OS AYDEN #2,8,nc_house_of_representatives_district_024
pitt_1509,12,nc_house_of_representatives_district_024
pitt_OS COMMUNITY SCHOOLS 2,627,nc_house_of_representatives_district_024
pitt_OS COMMUNITY SCHOOLS 1,445,nc_house_of_representatives_district_024
pitt_OS COUNTY OFFICE 1,3249,nc_house_of_representatives_district_024
pitt_OS FARMVILLE 2,9,nc_house_of_representatives_district_024
pitt_OS FARMVILLE 1,158,nc_house_of_representatives_district_024
pitt_ABSENTEE #1,166,nc_house_of_representatives_district_024
pitt_OS COUNTY OFFICE 2,1711,nc_house_of_representatives_district_024
pitt_OS WINTERVILLE #2,659,nc_house_of_representatives_district_024
pitt_OS AYDEN #1,10,nc_house_of_representatives_district_024
pitt_501,30,nc_house_of_representatives_district_024
pitt_OS AG CENTER 2,365,nc_house_of_representatives_district_024
pitt_1508A,33,nc_house_of_representatives_district_024
pitt_401,458,nc_house_of_representatives_district_024
pitt_OS ECU-WILLIS BLDG 1,526,nc_house_of_representatives_district_024
pitt_OS AG CENTER 1,2055,nc_house_of_representatives_district_024
pitt_OS WINTERVILLE #1,230,nc_house_of_representatives_district_024
pitt_1503,436,nc_house_of_representatives_district_024
pitt_901,155,nc_house_of_representatives_district_024
pitt_101,0,nc_house_of_representatives_district_024
pitt_701,297,nc_house_of_representatives_district_024
pitt_1501,127,nc_house_of_representatives_district_024
pitt_1506,333,nc_house_of_representatives_district_024
pitt_1512A,345,nc_house_of_representatives_district_024
pitt_1512B,119,nc_house_of_representatives_district_024
pitt_1505B,489,nc_house_of_representatives_district_024
pitt_301,599,nc_house_of_representatives_district_024
pitt_1504B,571,nc_house_of_representatives_district_024
pitt_1504A,428,nc_house_of_representatives_district_024
pitt_1505A,473,nc_house_of_representatives_district_024
wilson_PRWE,254,nc_house_of_representatives_district_024
wilson_PRWQ,144,nc_house_of_representatives_district_024
wilson_CURBSIDE,0,nc_house_of_representatives_district_024
wilson_PRWN,457,nc_house_of_representatives_district_024
wilson_PRWI,297,nc_house_of_representatives_district_024
wilson_PRWB,220,nc_house_of_representatives_district_024
wilson_PRWC,307,nc_house_of_representatives_district_024
wilson_PRWA,189,nc_house_of_representatives_district_024
wilson_ABSENTEE,255,nc_house_of_representatives_district_024
wilson_PRGA,468,nc_house_of_representatives_district_024
wilson_PRWH,224,nc_house_of_representatives_district_024
wilson_PRWR,278,nc_house_of_representatives_district_024
wilson_PRWD,44,nc_house_of_representatives_district_024
wilson_PRSA,212,nc_house_of_representatives_district_024
wilson_PRWJ,154,nc_house_of_representatives_district_024
wilson_PRWM,229,nc_house_of_representatives_district_024
