prec_id,Joe Parrish,Larry Yarborough,election
granville_WILT,1091,2534,nc_house_of_representatives_district_002
granville_EAOX,198,302,nc_house_of_representatives_district_002
granville_SALM,135,382,nc_house_of_representatives_district_002
granville_BERE,493,622,nc_house_of_representatives_district_002
granville_BTNR,1065,885,nc_house_of_representatives_district_002
granville_CRDM,1571,1683,nc_house_of_representatives_district_002
granville_ANTI,147,220,nc_house_of_representatives_district_002
granville_MTEN,1214,1837,nc_house_of_representatives_district_002
granville_TYHO,836,1882,nc_house_of_representatives_district_002
granville_CORI,279,640,nc_house_of_representatives_district_002
granville_CRDL,299,349,nc_house_of_representatives_district_002
granville_WOEL,0,2,nc_house_of_representatives_district_002
person_OLHI,315,881,nc_house_of_representatives_district_002
person_WDSD,371,369,nc_house_of_representatives_district_002
person_HLWY,211,536,nc_house_of_representatives_district_002
person_CUCL,455,853,nc_house_of_representatives_district_002
person_ALVI,711,769,nc_house_of_representatives_district_002
person_ROX4,606,537,nc_house_of_representatives_district_002
person_PNTH,1343,1263,nc_house_of_representatives_district_002
person_RCTL,1390,1503,nc_house_of_representatives_district_002
person_SWST,473,933,nc_house_of_representatives_district_002
person_FLRI,1033,2558,nc_house_of_representatives_district_002
person_MTTZ,539,1220,nc_house_of_representatives_district_002
