prec_id,Jon Hardister,Scott A. Jones,election
guilford_NMAD,885,692,nc_house_of_representatives_district_059
guilford_G29,433,724,nc_house_of_representatives_district_059
guilford_G27,1129,1036,nc_house_of_representatives_district_059
guilford_GR,1398,344,nc_house_of_representatives_district_059
guilford_NWASH,756,159,nc_house_of_representatives_district_059
guilford_JEF1,1057,720,nc_house_of_representatives_district_059
guilford_G23,253,276,nc_house_of_representatives_district_059
guilford_G25,573,822,nc_house_of_representatives_district_059
guilford_G28,348,476,nc_house_of_representatives_district_059
guilford_G31,563,559,nc_house_of_representatives_district_059
guilford_CG1,732,838,nc_house_of_representatives_district_059
guilford_ABS/CURB/PROV 4,5,3,nc_house_of_representatives_district_059
guilford_MON1,155,74,nc_house_of_representatives_district_059
guilford_NCGR2,1189,440,nc_house_of_representatives_district_059
guilford_NCLAY1,1218,665,nc_house_of_representatives_district_059
guilford_G30,787,541,nc_house_of_representatives_district_059
guilford_G32,1049,904,nc_house_of_representatives_district_059
guilford_MON3,1966,995,nc_house_of_representatives_district_059
guilford_NCGR1,1601,687,nc_house_of_representatives_district_059
guilford_CG3A,711,621,nc_house_of_representatives_district_059
guilford_CG3B,950,773,nc_house_of_representatives_district_059
guilford_SCLAY,1178,306,nc_house_of_representatives_district_059
guilford_RC2,1572,1378,nc_house_of_representatives_district_059
guilford_JEF4,464,184,nc_house_of_representatives_district_059
guilford_JEF3,36,7,nc_house_of_representatives_district_059
guilford_ABS/PROV/CURB 1,119,98,nc_house_of_representatives_district_059
guilford_JEF2,352,100,nc_house_of_representatives_district_059
guilford_PG1,814,420,nc_house_of_representatives_district_059
guilford_SMAD,1020,768,nc_house_of_representatives_district_059
guilford_CG2,808,688,nc_house_of_representatives_district_059
guilford_ABS/PROV/CURB 3,76,52,nc_house_of_representatives_district_059
guilford_FEN2,989,424,nc_house_of_representatives_district_059
guilford_RC1,1140,884,nc_house_of_representatives_district_059
guilford_ABS/PROV/CURB 2,17,22,nc_house_of_representatives_district_059
guilford_SWASH,523,123,nc_house_of_representatives_district_059
guilford_G20,25,27,nc_house_of_representatives_district_059
guilford_GIB,952,768,nc_house_of_representatives_district_059
guilford_NCLAY2,809,274,nc_house_of_representatives_district_059
guilford_FEN1,328,188,nc_house_of_representatives_district_059
