prec_id,Mary Lopez Carter,Valerie P. Foushee,election
chatham_45,195,127,nc_state_senate_district_23
chatham_24,285,49,nc_state_senate_district_23
chatham_78,326,253,nc_state_senate_district_23
chatham_NWM117,281,293,nc_state_senate_district_23
chatham_3,424,165,nc_state_senate_district_23
chatham_42,330,166,nc_state_senate_district_23
chatham_ESC114,258,311,nc_state_senate_district_23
chatham_30,238,123,nc_state_senate_district_23
chatham_18,302,137,nc_state_senate_district_23
chatham_21,258,190,nc_state_senate_district_23
chatham_15,191,203,nc_state_senate_district_23
chatham_ABSENTEE,646,981,nc_state_senate_district_23
chatham_9,327,144,nc_state_senate_district_23
chatham_6,322,77,nc_state_senate_district_23
chatham_85,219,199,nc_state_senate_district_23
chatham_MCH110,261,376,nc_state_senate_district_23
chatham_75,559,380,nc_state_senate_district_23
chatham_20,432,217,nc_state_senate_district_23
chatham_PIT113,457,458,nc_state_senate_district_23
orange_OS CTH,1532,13304,nc_state_senate_district_23
orange_WD,111,225,nc_state_senate_district_23
orange_CP,294,194,nc_state_senate_district_23
orange_OW,73,330,nc_state_senate_district_23
orange_SM,401,195,nc_state_senate_district_23
orange_BC,126,265,nc_state_senate_district_23
orange_OS COTC,2338,9786,nc_state_senate_district_23
orange_WC,254,259,nc_state_senate_district_23
orange_CB,43,187,nc_state_senate_district_23
orange_MF,99,252,nc_state_senate_district_23
orange_CG,248,187,nc_state_senate_district_23
orange_OS EFLAND,2126,2201,nc_state_senate_district_23
orange_EH,94,202,nc_state_senate_district_23
orange_DM,120,245,nc_state_senate_district_23
orange_GB,255,361,nc_state_senate_district_23
orange_TH,29,176,nc_state_senate_district_23
orange_RF,115,311,nc_state_senate_district_23
orange_SJ,129,282,nc_state_senate_district_23
orange_CH,65,195,nc_state_senate_district_23
orange_ES,77,256,nc_state_senate_district_23
orange_GL,189,285,nc_state_senate_district_23
orange_OS BOE,4415,8544,nc_state_senate_district_23
orange_CW,619,260,nc_state_senate_district_23
orange_NC,76,150,nc_state_senate_district_23
orange_BP,45,117,nc_state_senate_district_23
orange_PA,206,275,nc_state_senate_district_23
orange_OS SEYMOUR,2016,10819,nc_state_senate_district_23
orange_CA,177,160,nc_state_senate_district_23
orange_CF,184,271,nc_state_senate_district_23
orange_EA,96,155,nc_state_senate_district_23
orange_DA,153,346,nc_state_senate_district_23
orange_HF,195,360,nc_state_senate_district_23
orange_KM,120,214,nc_state_senate_district_23
orange_H,42,88,nc_state_senate_district_23
orange_GR,68,171,nc_state_senate_district_23
orange_CS1,146,127,nc_state_senate_district_23
orange_WW,79,137,nc_state_senate_district_23
orange_LC,80,313,nc_state_senate_district_23
orange_LI,107,193,nc_state_senate_district_23
orange_TO,276,175,nc_state_senate_district_23
orange_WH,137,292,nc_state_senate_district_23
orange_ENO,357,243,nc_state_senate_district_23
orange_CX,369,376,nc_state_senate_district_23
orange_OG,409,446,nc_state_senate_district_23
orange_NS,94,311,nc_state_senate_district_23
orange_EF,197,191,nc_state_senate_district_23
orange_CC,95,132,nc_state_senate_district_23
orange_CO,95,218,nc_state_senate_district_23
orange_WDS,23,266,nc_state_senate_district_23
