prec_id,Jeff Jackson,Bob Diamond,election
mecklenburg_CURBSIDE 21-40,154,37,nc_state_senate_district_37
mecklenburg_50,779,466,nc_state_senate_district_37
mecklenburg_97,742,190,nc_state_senate_district_37
mecklenburg_88,949,797,nc_state_senate_district_37
mecklenburg_20,959,681,nc_state_senate_district_37
mecklenburg_CURBSIDE 41-60,64,24,nc_state_senate_district_37
mecklenburg_5,774,163,nc_state_senate_district_37
mecklenburg_58,792,659,nc_state_senate_district_37
mecklenburg_34,596,249,nc_state_senate_district_37
mecklenburg_33,969,237,nc_state_senate_district_37
mecklenburg_49,834,735,nc_state_senate_district_37
mecklenburg_15,1679,480,nc_state_senate_district_37
mecklenburg_229,2882,2331,nc_state_senate_district_37
mecklenburg_17,100,29,nc_state_senate_district_37
mecklenburg_6,1183,176,nc_state_senate_district_37
mecklenburg_226,187,70,nc_state_senate_district_37
mecklenburg_98,1264,199,nc_state_senate_district_37
mecklenburg_51,1115,726,nc_state_senate_district_37
mecklenburg_59,556,337,nc_state_senate_district_37
mecklenburg_231,710,307,nc_state_senate_district_37
mecklenburg_CURBSIDE 1-20,306,41,nc_state_senate_district_37
mecklenburg_122,2245,1272,nc_state_senate_district_37
mecklenburg_87,1055,831,nc_state_senate_district_37
mecklenburg_9,1331,799,nc_state_senate_district_37
mecklenburg_2,1502,585,nc_state_senate_district_37
mecklenburg_11,3234,1749,nc_state_senate_district_37
mecklenburg_14,31,4,nc_state_senate_district_37
mecklenburg_243,3759,2082,nc_state_senate_district_37
mecklenburg_29,957,293,nc_state_senate_district_37
mecklenburg_109,1250,500,nc_state_senate_district_37
mecklenburg_44,843,293,nc_state_senate_district_37
mecklenburg_46,1394,358,nc_state_senate_district_37
mecklenburg_CURBSIDE 81-96,0,0,nc_state_senate_district_37
mecklenburg_38,878,464,nc_state_senate_district_37
mecklenburg_21,939,449,nc_state_senate_district_37
mecklenburg_84,1130,198,nc_state_senate_district_37
mecklenburg_77,1345,111,nc_state_senate_district_37
mecklenburg_30,1619,395,nc_state_senate_district_37
mecklenburg_37,747,667,nc_state_senate_district_37
mecklenburg_52,58,8,nc_state_senate_district_37
mecklenburg_61,1032,336,nc_state_senate_district_37
mecklenburg_13,1296,414,nc_state_senate_district_37
mecklenburg_10,1101,712,nc_state_senate_district_37
mecklenburg_120,1187,220,nc_state_senate_district_37
mecklenburg_129,540,222,nc_state_senate_district_37
mecklenburg_124,67,8,nc_state_senate_district_37
mecklenburg_45,818,268,nc_state_senate_district_37
mecklenburg_138,1612,418,nc_state_senate_district_37
mecklenburg_228,1810,680,nc_state_senate_district_37
mecklenburg_225,623,693,nc_state_senate_district_37
mecklenburg_200,52,60,nc_state_senate_district_37
mecklenburg_230,3236,1420,nc_state_senate_district_37
