prec_id,Mary (Pricey) Harrison,election
guilford_G67,940,nc_house_of_representatives_district_057
guilford_G15,189,nc_house_of_representatives_district_057
guilford_G10,1617,nc_house_of_representatives_district_057
guilford_G12,225,nc_house_of_representatives_district_057
guilford_G22,815,nc_house_of_representatives_district_057
guilford_G09,1710,nc_house_of_representatives_district_057
guilford_JEF1,174,nc_house_of_representatives_district_057
guilford_G44,89,nc_house_of_representatives_district_057
guilford_G23,393,nc_house_of_representatives_district_057
guilford_MON2B,1012,nc_house_of_representatives_district_057
guilford_G19,748,nc_house_of_representatives_district_057
guilford_G05,1008,nc_house_of_representatives_district_057
guilford_ABS/CURB/PROV 4,15,nc_house_of_representatives_district_057
guilford_G72,1451,nc_house_of_representatives_district_057
guilford_G71,12,nc_house_of_representatives_district_057
guilford_MON1,1155,nc_house_of_representatives_district_057
guilford_CG3B,258,nc_house_of_representatives_district_057
guilford_G11,935,nc_house_of_representatives_district_057
guilford_MON2A,1767,nc_house_of_representatives_district_057
guilford_G68,1235,nc_house_of_representatives_district_057
guilford_G06,1002,nc_house_of_representatives_district_057
guilford_G21,1651,nc_house_of_representatives_district_057
guilford_G24,709,nc_house_of_representatives_district_057
guilford_G26,1854,nc_house_of_representatives_district_057
guilford_JEF4,542,nc_house_of_representatives_district_057
guilford_G13,912,nc_house_of_representatives_district_057
guilford_ABS/PROV/CURB 1,110,nc_house_of_representatives_district_057
guilford_G14,138,nc_house_of_representatives_district_057
guilford_JEF2,1131,nc_house_of_representatives_district_057
guilford_ABS/PROV/CURB 3,25,nc_house_of_representatives_district_057
guilford_G02,638,nc_house_of_representatives_district_057
guilford_RC1,342,nc_house_of_representatives_district_057
guilford_ABS/PROV/CURB 2,268,nc_house_of_representatives_district_057
guilford_G07,1014,nc_house_of_representatives_district_057
guilford_G04,1109,nc_house_of_representatives_district_057
guilford_G01,802,nc_house_of_representatives_district_057
guilford_G03,1227,nc_house_of_representatives_district_057
guilford_G08,1344,nc_house_of_representatives_district_057
guilford_G20,952,nc_house_of_representatives_district_057
