prec_id,John A. Fraley,election
iredell_DV2-A,2462,nc_house_of_representatives_district_095
iredell_CC1,3228,nc_house_of_representatives_district_095
iredell_DV1-A,4346,nc_house_of_representatives_district_095
iredell_BA,2475,nc_house_of_representatives_district_095
iredell_DV1-B,5517,nc_house_of_representatives_district_095
iredell_CH-B,1342,nc_house_of_representatives_district_095
iredell_ST6,1240,nc_house_of_representatives_district_095
iredell_CC2,2733,nc_house_of_representatives_district_095
iredell_CC4,3312,nc_house_of_representatives_district_095
iredell_CC3,4115,nc_house_of_representatives_district_095
iredell_DV2-B,2528,nc_house_of_representatives_district_095
