prec_id,Brian Lewis,Duane Hall,Ray Martin,election
wake_43924,54,358,300,nc_house_of_representatives_district_011
wake_OSLOB 41-80,11,141,59,nc_house_of_representatives_district_011
wake_OSNB 1-40,1,4,7,nc_house_of_representatives_district_011
wake_ABSEN 41-80,17,190,171,nc_house_of_representatives_district_011
wake_OSWD 41-80,0,1,7,nc_house_of_representatives_district_011
wake_OSWA 41-80,9,90,110,nc_house_of_representatives_district_011
wake_OSGR 81-91,0,0,0,nc_house_of_representatives_district_011
wake_OSAV 81-91,0,0,0,nc_house_of_representatives_district_011
wake_OSNR 1-40,2,8,6,nc_house_of_representatives_district_011
wake_43925,48,272,250,nc_house_of_representatives_district_011
wake_17899,101,578,283,nc_house_of_representatives_district_011
wake_11689,83,498,265,nc_house_of_representatives_district_011
wake_18-01,151,603,398,nc_house_of_representatives_district_011
wake_18-06,106,643,501,nc_house_of_representatives_district_011
wake_OSCA 81-91,1,1,0,nc_house_of_representatives_district_011
wake_OSLL 81-91,0,0,0,nc_house_of_representatives_district_011
wake_PROVI 1-40,29,186,55,nc_house_of_representatives_district_011
wake_OSNR 81-91,0,0,0,nc_house_of_representatives_district_011
wake_OSTC 1-40,9,53,11,nc_house_of_representatives_district_011
wake_TRANS 1-40,0,0,0,nc_house_of_representatives_district_011
wake_43923,86,421,401,nc_house_of_representatives_district_011
wake_OSAB 41-80,0,4,2,nc_house_of_representatives_district_011
wake_PROVI 41-80,3,28,17,nc_house_of_representatives_district_011
wake_OSCH 1-40,50,990,91,nc_house_of_representatives_district_011
wake_OSGR 41-80,4,16,10,nc_house_of_representatives_district_011
wake_ABSEN 81-91,0,0,0,nc_house_of_representatives_district_011
wake_OSAP 81-91,0,0,0,nc_house_of_representatives_district_011
wake_18-04,34,133,209,nc_house_of_representatives_district_011
wake_43922,51,437,373,nc_house_of_representatives_district_011
wake_OSOP 41-80,1,21,22,nc_house_of_representatives_district_011
wake_OSCA 41-80,103,1242,594,nc_house_of_representatives_district_011
wake_OSKD 41-80,0,5,0,nc_house_of_representatives_district_011
wake_OSLOB 81-91,0,0,0,nc_house_of_representatives_district_011
wake_17533,88,557,220,nc_house_of_representatives_district_011
wake_OSFB 41-80,3,40,30,nc_house_of_representatives_district_011
wake_OSNB 41-80,0,1,0,nc_house_of_representatives_district_011
wake_OSZB 1-40,0,17,6,nc_house_of_representatives_district_011
wake_OSAP 41-80,6,108,75,nc_house_of_representatives_district_011
wake_OSAP 1-40,26,267,132,nc_house_of_representatives_district_011
wake_18-08,32,169,212,nc_house_of_representatives_district_011
wake_43932,44,211,135,nc_house_of_representatives_district_011
wake_43861,91,482,208,nc_house_of_representatives_district_011
wake_OSLL 1-40,12,112,18,nc_house_of_representatives_district_011
wake_OSFV 81-91,0,0,0,nc_house_of_representatives_district_011
wake_OSAV 41-80,15,83,118,nc_house_of_representatives_district_011
wake_OSCB 81-91,0,0,0,nc_house_of_representatives_district_011
wake_OSCB 1-40,235,2181,650,nc_house_of_representatives_district_011
wake_OSTC 81-91,0,0,0,nc_house_of_representatives_district_011
wake_OSOP 81-91,0,0,0,nc_house_of_representatives_district_011
wake_OSTC 41-80,5,18,4,nc_house_of_representatives_district_011
wake_OSNR 41-80,0,4,1,nc_house_of_representatives_district_011
wake_43926,63,415,409,nc_house_of_representatives_district_011
wake_43929,82,444,347,nc_house_of_representatives_district_011
wake_43938,53,287,269,nc_house_of_representatives_district_011
wake_44136,51,309,258,nc_house_of_representatives_district_011
wake_ABSEN 1-40,93,1004,529,nc_house_of_representatives_district_011
wake_43936,77,447,467,nc_house_of_representatives_district_011
wake_OSZB 41-80,0,4,4,nc_house_of_representatives_district_011
wake_TRANS 81-91,0,0,0,nc_house_of_representatives_district_011
wake_14977,63,431,214,nc_house_of_representatives_district_011
wake_OSLOB 1-40,73,789,186,nc_house_of_representatives_district_011
wake_OSWA 1-40,21,130,49,nc_house_of_representatives_district_011
wake_OSWA 81-91,0,0,0,nc_house_of_representatives_district_011
wake_OSCB 41-80,16,200,92,nc_house_of_representatives_district_011
wake_OSZB 81-91,0,0,0,nc_house_of_representatives_district_011
wake_TRANS 41-80,0,0,0,nc_house_of_representatives_district_011
wake_OSHS 81-91,0,0,0,nc_house_of_representatives_district_011
wake_OSKD 81-91,0,0,0,nc_house_of_representatives_district_011
wake_OSCA 1-40,517,7050,2848,nc_house_of_representatives_district_011
wake_OSFV 1-40,2,13,10,nc_house_of_representatives_district_011
wake_43939,40,313,291,nc_house_of_representatives_district_011
wake_OSWD 81-91,0,0,0,nc_house_of_representatives_district_011
wake_OSWD 1-40,0,6,4,nc_house_of_representatives_district_011
wake_43937,1,18,14,nc_house_of_representatives_district_011
wake_43942,56,335,195,nc_house_of_representatives_district_011
wake_OSCH 81-91,0,0,0,nc_house_of_representatives_district_011
wake_OSAB 1-40,2,11,15,nc_house_of_representatives_district_011
wake_OSHS 41-80,2,10,5,nc_house_of_representatives_district_011
wake_PROVI 81-91,0,0,0,nc_house_of_representatives_district_011
wake_43954,0,3,0,nc_house_of_representatives_district_011
wake_OSKD 1-40,0,22,7,nc_house_of_representatives_district_011
wake_OSGR 1-40,10,71,23,nc_house_of_representatives_district_011
wake_OSFV 41-80,1,2,2,nc_house_of_representatives_district_011
wake_43941,89,476,424,nc_house_of_representatives_district_011
wake_OSCH 41-80,4,109,14,nc_house_of_representatives_district_011
wake_OSAB 81-91,0,0,0,nc_house_of_representatives_district_011
wake_OSHS 1-40,1,43,16,nc_house_of_representatives_district_011
wake_OSLL 41-80,1,34,18,nc_house_of_representatives_district_011
wake_OSOP 1-40,15,72,40,nc_house_of_representatives_district_011
wake_OSFB 1-40,37,242,138,nc_house_of_representatives_district_011
wake_OSFB 81-91,0,0,0,nc_house_of_representatives_district_011
wake_OSAV 1-40,16,161,85,nc_house_of_representatives_district_011
wake_OSNB 81-91,0,0,0,nc_house_of_representatives_district_011
