prec_id,Bobbie J. Richardson,William Duke Hancock II,election
franklin_16,937,444,nc_house_of_representatives_district_007
franklin_11,717,352,nc_house_of_representatives_district_007
franklin_8,186,65,nc_house_of_representatives_district_007
franklin_2,634,341,nc_house_of_representatives_district_007
franklin_15,1317,463,nc_house_of_representatives_district_007
franklin_1,952,346,nc_house_of_representatives_district_007
franklin_10,178,96,nc_house_of_representatives_district_007
franklin_9,116,60,nc_house_of_representatives_district_007
franklin_3,911,712,nc_house_of_representatives_district_007
franklin_12,437,460,nc_house_of_representatives_district_007
nash_P21A,375,140,nc_house_of_representatives_district_007
nash_P06A,182,73,nc_house_of_representatives_district_007
nash_MT PLEASANT OS,39,39,nc_house_of_representatives_district_007
nash_P14A,36,57,nc_house_of_representatives_district_007
nash_P19A,280,255,nc_house_of_representatives_district_007
nash_P08A,286,114,nc_house_of_representatives_district_007
nash_ABSENTEE,256,225,nc_house_of_representatives_district_007
nash_P04A,69,66,nc_house_of_representatives_district_007
nash_P07A,28,39,nc_house_of_representatives_district_007
nash_NASHVILLE OS,6028,3354,nc_house_of_representatives_district_007
nash_P22A,373,27,nc_house_of_representatives_district_007
nash_P10A,288,128,nc_house_of_representatives_district_007
nash_SPRING HOPE OS,454,152,nc_house_of_representatives_district_007
nash_P05A,0,5,nc_house_of_representatives_district_007
nash_P15A,95,71,nc_house_of_representatives_district_007
nash_P20A,257,265,nc_house_of_representatives_district_007
nash_P17A,468,387,nc_house_of_representatives_district_007
nash_P23A,471,63,nc_house_of_representatives_district_007
nash_P13A,296,85,nc_house_of_representatives_district_007
nash_ROCKY MOUNT OS,5464,1405,nc_house_of_representatives_district_007
nash_P12A,190,154,nc_house_of_representatives_district_007
nash_P16A,255,193,nc_house_of_representatives_district_007
nash_P18A,367,210,nc_house_of_representatives_district_007
nash_P24A,146,105,nc_house_of_representatives_district_007
nash_P09A,118,86,nc_house_of_representatives_district_007
