prec_id,Gerald (Jerry) Benton,Susi Hamilton,election
brunswick_2,1800,1607,nc_house_of_representatives_district_018
brunswick_5,1498,762,nc_house_of_representatives_district_018
brunswick_1,576,496,nc_house_of_representatives_district_018
brunswick_ABSENTEE MAIL,212,158,nc_house_of_representatives_district_018
brunswick_3,359,530,nc_house_of_representatives_district_018
brunswick_6,605,347,nc_house_of_representatives_district_018
brunswick_04B1,1348,1009,nc_house_of_representatives_district_018
brunswick_04A,1004,797,nc_house_of_representatives_district_018
brunswick_04C1,1046,836,nc_house_of_representatives_district_018
brunswick_CURBSIDE,101,121,nc_house_of_representatives_district_018
new hanover_W27,387,1693,nc_house_of_representatives_district_018
new hanover_W24,474,629,nc_house_of_representatives_district_018
new hanover_OS CAB PAPER,1,2,nc_house_of_representatives_district_018
new hanover_OS CFCC PAPER,7,189,nc_house_of_representatives_district_018
new hanover_W15,547,2200,nc_house_of_representatives_district_018
new hanover_W12,430,827,nc_house_of_representatives_district_018
new hanover_CF01,1146,1182,nc_house_of_representatives_district_018
new hanover_ABSENTEE,0,0,nc_house_of_representatives_district_018
new hanover_W28,848,1352,nc_house_of_representatives_district_018
new hanover_CF06,44,98,nc_house_of_representatives_district_018
new hanover_OS GVT PAPER,49,249,nc_house_of_representatives_district_018
new hanover_OS SRC PAPER,44,129,nc_house_of_representatives_district_018
new hanover_W03,176,1187,nc_house_of_representatives_district_018
new hanover_W08,341,707,nc_house_of_representatives_district_018
new hanover_W25,336,1911,nc_house_of_representatives_district_018
new hanover_W13,375,906,nc_house_of_representatives_district_018
new hanover_W29,121,1855,nc_house_of_representatives_district_018
new hanover_OS NLB PAPER,2,9,nc_house_of_representatives_district_018
