prec_id,Brent Jackson,Donald B. Rains,election
duplin_ROSE,302,275,nc_state_senate_district_10
duplin_CHAR,145,251,nc_state_senate_district_10
duplin_CHIN,247,92,nc_state_senate_district_10
duplin_WALL,774,582,nc_state_senate_district_10
duplin_BEUL,604,164,nc_state_senate_district_10
duplin_GLIS,172,44,nc_state_senate_district_10
duplin_ROCK,183,144,nc_state_senate_district_10
duplin_CFRK,264,28,nc_state_senate_district_10
duplin_SMCA,292,65,nc_state_senate_district_10
duplin_KENA,316,351,nc_state_senate_district_10
duplin_HALL,187,124,nc_state_senate_district_10
duplin_WARS,317,511,nc_state_senate_district_10
duplin_LOCK,131,35,nc_state_senate_district_10
duplin_ALBE,352,53,nc_state_senate_district_10
duplin_CALY,227,87,nc_state_senate_district_10
duplin_MAGN,148,201,nc_state_senate_district_10
duplin_FAIS,257,186,nc_state_senate_district_10
duplin_CYCK,388,90,nc_state_senate_district_10
duplin_ONESTOP,1611,1715,nc_state_senate_district_10
duplin_WOLF,376,93,nc_state_senate_district_10
johnston_PR36,535,253,nc_state_senate_district_10
johnston_PR37,1161,512,nc_state_senate_district_10
johnston_PR08,661,241,nc_state_senate_district_10
johnston_PR28,535,263,nc_state_senate_district_10
johnston_PR30,109,56,nc_state_senate_district_10
johnston_PR19,164,81,nc_state_senate_district_10
johnston_PR31B,885,510,nc_state_senate_district_10
johnston_PR11A,446,383,nc_state_senate_district_10
johnston_PR09,201,112,nc_state_senate_district_10
johnston_PR26,198,105,nc_state_senate_district_10
johnston_PR33,43,8,nc_state_senate_district_10
johnston_PR38,745,143,nc_state_senate_district_10
johnston_PR12A,862,493,nc_state_senate_district_10
johnston_PR04,375,188,nc_state_senate_district_10
johnston_PR07,801,450,nc_state_senate_district_10
johnston_PR11B,28,11,nc_state_senate_district_10
johnston_PR12B,1018,647,nc_state_senate_district_10
johnston_PR14,450,117,nc_state_senate_district_10
johnston_PR23A,592,255,nc_state_senate_district_10
johnston_PR22,863,379,nc_state_senate_district_10
johnston_PR34,693,492,nc_state_senate_district_10
johnston_PR35,564,101,nc_state_senate_district_10
johnston_PR27B,236,134,nc_state_senate_district_10
johnston_PR31A,714,405,nc_state_senate_district_10
johnston_PR13,725,263,nc_state_senate_district_10
sampson_MING,716,184,nc_state_senate_district_10
sampson_GARL,159,164,nc_state_senate_district_10
sampson_PLVW,836,131,nc_state_senate_district_10
sampson_KEEN,309,86,nc_state_senate_district_10
sampson_KFRK,342,202,nc_state_senate_district_10
sampson_ROSE,218,92,nc_state_senate_district_10
sampson_CLWE,367,131,nc_state_senate_district_10
sampson_NGRV,307,132,nc_state_senate_district_10
sampson_GIDD,169,189,nc_state_senate_district_10
sampson_SBRG,267,97,nc_state_senate_district_10
sampson_ONESTOP,3012,2980,nc_state_senate_district_10
sampson_INGO,157,119,nc_state_senate_district_10
sampson_TURK,207,198,nc_state_senate_district_10
sampson_CLNE,354,165,nc_state_senate_district_10
sampson_LAKE,240,416,nc_state_senate_district_10
sampson_ROWA,316,164,nc_state_senate_district_10
sampson_HARR,195,387,nc_state_senate_district_10
sampson_HERR,281,52,nc_state_senate_district_10
sampson_CLSW,215,126,nc_state_senate_district_10
sampson_WBRK,363,92,nc_state_senate_district_10
sampson_CLCE,42,191,nc_state_senate_district_10
sampson_CLEM,377,147,nc_state_senate_district_10
sampson_AUTR,351,91,nc_state_senate_district_10
sampson_CLEA,281,394,nc_state_senate_district_10
