prec_id,Margaret E. Broadwell,Marilyn Avila,election
wake_ONESTOP,4146,3608,nc_house_of_representatives_district_040
wake_44051,687,831,nc_house_of_representatives_district_040
wake_19-15,0,0,nc_house_of_representatives_district_040
wake_43864,426,867,nc_house_of_representatives_district_040
wake_14-01,98,231,nc_house_of_representatives_district_040
wake_44054,730,639,nc_house_of_representatives_district_040
wake_14-02,557,1526,nc_house_of_representatives_district_040
wake_44045,469,558,nc_house_of_representatives_district_040
wake_44047,315,482,nc_house_of_representatives_district_040
wake_43865,355,689,nc_house_of_representatives_district_040
wake_19-05,336,805,nc_house_of_representatives_district_040
wake_44053,124,166,nc_house_of_representatives_district_040
wake_43863,739,1404,nc_house_of_representatives_district_040
wake_44046,712,774,nc_house_of_representatives_district_040
wake_19-03,387,626,nc_house_of_representatives_district_040
wake_43959,472,279,nc_house_of_representatives_district_040
wake_43956,1155,910,nc_house_of_representatives_district_040
wake_44022,413,381,nc_house_of_representatives_district_040
wake_43958,842,512,nc_house_of_representatives_district_040
