prec_id,Susan C. Fisher,election
buncombe_23.3,397,nc_house_of_representatives_district_114
buncombe_19.1,195,nc_house_of_representatives_district_114
buncombe_1.1,492,nc_house_of_representatives_district_114
buncombe_66.1,473,nc_house_of_representatives_district_114
buncombe_2.1,1091,nc_house_of_representatives_district_114
buncombe_6.1,555,nc_house_of_representatives_district_114
buncombe_12.1,561,nc_house_of_representatives_district_114
buncombe_27.2,352,nc_house_of_representatives_district_114
buncombe_29.2,389,nc_house_of_representatives_district_114
buncombe_43.2,260,nc_house_of_representatives_district_114
buncombe_24.1,230,nc_house_of_representatives_district_114
buncombe_15.1,512,nc_house_of_representatives_district_114
buncombe_22.2,750,nc_house_of_representatives_district_114
buncombe_60.2,27,nc_house_of_representatives_district_114
buncombe_8.3,698,nc_house_of_representatives_district_114
buncombe_70.1,560,nc_house_of_representatives_district_114
buncombe_8.2,529,nc_house_of_representatives_district_114
buncombe_9.1,1008,nc_house_of_representatives_district_114
buncombe_13.1,528,nc_house_of_representatives_district_114
buncombe_25.1,2,nc_house_of_representatives_district_114
buncombe_64.1,116,nc_house_of_representatives_district_114
buncombe_26.1,338,nc_house_of_representatives_district_114
buncombe_42.1,374,nc_house_of_representatives_district_114
buncombe_16.2,528,nc_house_of_representatives_district_114
buncombe_68.1,0,nc_house_of_representatives_district_114
buncombe_3.1,859,nc_house_of_representatives_district_114
buncombe_10.1,480,nc_house_of_representatives_district_114
buncombe_14.2,513,nc_house_of_representatives_district_114
buncombe_23.2,191,nc_house_of_representatives_district_114
buncombe_28.1,816,nc_house_of_representatives_district_114
buncombe_20.1,257,nc_house_of_representatives_district_114
buncombe_60.4,339,nc_house_of_representatives_district_114
buncombe_21.1,862,nc_house_of_representatives_district_114
buncombe_57.1,64,nc_house_of_representatives_district_114
buncombe_4.1,723,nc_house_of_representatives_district_114
buncombe_11.1,323,nc_house_of_representatives_district_114
buncombe_14.3,238,nc_house_of_representatives_district_114
buncombe_62.1,0,nc_house_of_representatives_district_114
buncombe_5.1,724,nc_house_of_representatives_district_114
buncombe_7.1,701,nc_house_of_representatives_district_114
buncombe_17.1,607,nc_house_of_representatives_district_114
buncombe_ONESTOP,5740,nc_house_of_representatives_district_114
