prec_id,Andrew C. Brock,election
davie_12,1956,nc_state_senate_district_34
davie_CURBSIDE,231,nc_state_senate_district_34
davie_7,958,nc_state_senate_district_34
davie_4,911,nc_state_senate_district_34
davie_9,1036,nc_state_senate_district_34
davie_3,1531,nc_state_senate_district_34
davie_6,885,nc_state_senate_district_34
davie_10,1348,nc_state_senate_district_34
davie_8,930,nc_state_senate_district_34
davie_11,1003,nc_state_senate_district_34
davie_14,1162,nc_state_senate_district_34
davie_ABSENTEE,545,nc_state_senate_district_34
davie_1,603,nc_state_senate_district_34
davie_13,1585,nc_state_senate_district_34
davie_5,1362,nc_state_senate_district_34
davie_2,581,nc_state_senate_district_34
iredell_OL,734,nc_state_senate_district_34
iredell_UG,832,nc_state_senate_district_34
iredell_EM,647,nc_state_senate_district_34
iredell_CH-A,1211,nc_state_senate_district_34
iredell_SB,1071,nc_state_senate_district_34
iredell_BA,2392,nc_state_senate_district_34
iredell_NH,711,nc_state_senate_district_34
iredell_CH-B,1308,nc_state_senate_district_34
iredell_TB,1163,nc_state_senate_district_34
iredell_BE,2837,nc_state_senate_district_34
iredell_CS,1386,nc_state_senate_district_34
iredell_CD,2510,nc_state_senate_district_34
rowan_32,878,nc_state_senate_district_34
rowan_34,1031,nc_state_senate_district_34
rowan_4,2351,nc_state_senate_district_34
rowan_39,874,nc_state_senate_district_34
rowan_21,1429,nc_state_senate_district_34
rowan_11,1564,nc_state_senate_district_34
rowan_29,749,nc_state_senate_district_34
rowan_42,389,nc_state_senate_district_34
rowan_8,1785,nc_state_senate_district_34
rowan_44,1475,nc_state_senate_district_34
rowan_7,957,nc_state_senate_district_34
rowan_41,1112,nc_state_senate_district_34
rowan_27,703,nc_state_senate_district_34
rowan_28,962,nc_state_senate_district_34
rowan_12,840,nc_state_senate_district_34
rowan_14A,2363,nc_state_senate_district_34
rowan_30,1085,nc_state_senate_district_34
rowan_10,1653,nc_state_senate_district_34
rowan_9,1294,nc_state_senate_district_34
rowan_24,764,nc_state_senate_district_34
rowan_40,1023,nc_state_senate_district_34
rowan_45,603,nc_state_senate_district_34
rowan_15,1863,nc_state_senate_district_34
rowan_17,1135,nc_state_senate_district_34
rowan_19A,2286,nc_state_senate_district_34
rowan_31,885,nc_state_senate_district_34
rowan_18,169,nc_state_senate_district_34
rowan_16,854,nc_state_senate_district_34
rowan_2,590,nc_state_senate_district_34
rowan_35,408,nc_state_senate_district_34
rowan_38,890,nc_state_senate_district_34
rowan_36,998,nc_state_senate_district_34
