prec_id,David Price,Sue Googe,election
durham_35.3,549,343,us_house_of_representatives_district_4
durham_OS-FRONT,787,360,us_house_of_representatives_district_4
durham_OS-ERL,289,92,us_house_of_representatives_district_4
durham_OS-NRL,39,17,us_house_of_representatives_district_4
durham_53-1,305,203,us_house_of_representatives_district_4
durham_OS-BOE,423,57,us_house_of_representatives_district_4
durham_OS-DTC,98,23,us_house_of_representatives_district_4
durham_ABSENTEE,486,201,us_house_of_representatives_district_4
durham_OS-NJBC,22,6,us_house_of_representatives_district_4
durham_OS-DTCN,13,0,us_house_of_representatives_district_4
durham_OS-IVY,243,65,us_house_of_representatives_district_4
durham_OS-ENO,1927,451,us_house_of_representatives_district_4
durham_33,556,323,us_house_of_representatives_district_4
durham_OS-DUKE,107,32,us_house_of_representatives_district_4
durham_OS-SRL,6867,1733,us_house_of_representatives_district_4
durham_OS-NCCU,160,7,us_house_of_representatives_district_4
durham_OS-GETG,27,4,us_house_of_representatives_district_4
durham_53-2,435,328,us_house_of_representatives_district_4
orange_OS CTH,13445,1592,us_house_of_representatives_district_4
orange_WD,247,97,us_house_of_representatives_district_4
orange_CP,220,285,us_house_of_representatives_district_4
orange_OW,320,87,us_house_of_representatives_district_4
orange_SM,216,391,us_house_of_representatives_district_4
orange_BC,268,134,us_house_of_representatives_district_4
orange_OS COTC,10183,2422,us_house_of_representatives_district_4
orange_WC,293,241,us_house_of_representatives_district_4
orange_CB,189,46,us_house_of_representatives_district_4
orange_MF,267,98,us_house_of_representatives_district_4
orange_CG,196,257,us_house_of_representatives_district_4
orange_OS EFLAND,2278,2121,us_house_of_representatives_district_4
orange_EH,211,93,us_house_of_representatives_district_4
orange_DM,272,116,us_house_of_representatives_district_4
orange_GB,385,257,us_house_of_representatives_district_4
orange_TH,177,30,us_house_of_representatives_district_4
orange_RF,318,119,us_house_of_representatives_district_4
orange_SJ,286,136,us_house_of_representatives_district_4
orange_CH,207,62,us_house_of_representatives_district_4
orange_ES,262,77,us_house_of_representatives_district_4
orange_GL,306,189,us_house_of_representatives_district_4
orange_OS BOE,8737,4403,us_house_of_representatives_district_4
orange_CW,305,608,us_house_of_representatives_district_4
orange_NC,156,76,us_house_of_representatives_district_4
orange_BP,121,47,us_house_of_representatives_district_4
orange_PA,289,212,us_house_of_representatives_district_4
orange_OS SEYMOUR,11044,2047,us_house_of_representatives_district_4
orange_CA,170,176,us_house_of_representatives_district_4
orange_CF,302,171,us_house_of_representatives_district_4
orange_EA,168,97,us_house_of_representatives_district_4
orange_DA,362,156,us_house_of_representatives_district_4
orange_HF,383,199,us_house_of_representatives_district_4
orange_KM,215,125,us_house_of_representatives_district_4
orange_H,89,44,us_house_of_representatives_district_4
orange_GR,175,68,us_house_of_representatives_district_4
orange_CS1,148,136,us_house_of_representatives_district_4
orange_WW,143,79,us_house_of_representatives_district_4
orange_LC,304,90,us_house_of_representatives_district_4
orange_LI,198,117,us_house_of_representatives_district_4
orange_TO,183,279,us_house_of_representatives_district_4
orange_WH,305,127,us_house_of_representatives_district_4
orange_ENO,259,356,us_house_of_representatives_district_4
orange_CX,372,382,us_house_of_representatives_district_4
orange_OG,463,411,us_house_of_representatives_district_4
orange_NS,319,105,us_house_of_representatives_district_4
orange_EF,207,191,us_house_of_representatives_district_4
orange_CC,145,107,us_house_of_representatives_district_4
orange_CO,229,94,us_house_of_representatives_district_4
orange_WDS,275,20,us_house_of_representatives_district_4
wake_43924,396,323,us_house_of_representatives_district_4
wake_43927,490,475,us_house_of_representatives_district_4
wake_44015,214,285,us_house_of_representatives_district_4
wake_OSLOB 41-80,2609,620,us_house_of_representatives_district_4
wake_OSNB 1-40,245,152,us_house_of_representatives_district_4
wake_20-14,688,786,us_house_of_representatives_district_4
wake_ABSEN 41-80,1784,1245,us_house_of_representatives_district_4
wake_OSWD 41-80,281,257,us_house_of_representatives_district_4
wake_OSWA 41-80,85,48,us_house_of_representatives_district_4
wake_OSGR 81-91,32,23,us_house_of_representatives_district_4
wake_OSAV 81-91,10,2,us_house_of_representatives_district_4
wake_OSNR 1-40,697,241,us_house_of_representatives_district_4
wake_13-09,717,321,us_house_of_representatives_district_4
wake_16-03,317,237,us_house_of_representatives_district_4
wake_16-08,1261,245,us_house_of_representatives_district_4
wake_16-05,29,23,us_house_of_representatives_district_4
wake_17-07,655,154,us_house_of_representatives_district_4
wake_17-10,212,127,us_house_of_representatives_district_4
wake_17-01,506,242,us_house_of_representatives_district_4
wake_17-04,643,494,us_house_of_representatives_district_4
wake_43925,319,274,us_house_of_representatives_district_4
wake_44022,701,611,us_house_of_representatives_district_4
wake_44021,456,440,us_house_of_representatives_district_4
wake_44018,434,607,us_house_of_representatives_district_4
wake_17899,644,342,us_house_of_representatives_district_4
wake_43933,408,509,us_house_of_representatives_district_4
wake_43860,228,288,us_house_of_representatives_district_4
wake_43858,991,244,us_house_of_representatives_district_4
wake_11689,567,299,us_house_of_representatives_district_4
wake_43855,146,18,us_house_of_representatives_district_4
wake_12055,351,279,us_house_of_representatives_district_4
wake_44025,325,304,us_house_of_representatives_district_4
wake_44049,396,228,us_house_of_representatives_district_4
wake_13-06,366,454,us_house_of_representatives_district_4
wake_18-01,976,573,us_house_of_representatives_district_4
wake_17-05,718,389,us_house_of_representatives_district_4
wake_18-06,749,544,us_house_of_representatives_district_4
wake_OSCA 81-91,111,52,us_house_of_representatives_district_4
wake_OSLL 81-91,63,32,us_house_of_representatives_district_4
wake_PROVI 1-40,1376,577,us_house_of_representatives_district_4
wake_43835,260,268,us_house_of_representatives_district_4
wake_43832,432,317,us_house_of_representatives_district_4
wake_OSNR 81-91,5,2,us_house_of_representatives_district_4
wake_OSTC 1-40,2880,1890,us_house_of_representatives_district_4
wake_TRANS 1-40,0,0,us_house_of_representatives_district_4
wake_16438,296,324,us_house_of_representatives_district_4
wake_43923,492,436,us_house_of_representatives_district_4
wake_43849,497,29,us_house_of_representatives_district_4
wake_44016,609,481,us_house_of_representatives_district_4
wake_44019,588,578,us_house_of_representatives_district_4
wake_44054,678,596,us_house_of_representatives_district_4
wake_43934,480,601,us_house_of_representatives_district_4
wake_43930,395,479,us_house_of_representatives_district_4
wake_OSAB 41-80,829,494,us_house_of_representatives_district_4
wake_20-16,444,393,us_house_of_representatives_district_4
wake_17-09,811,108,us_house_of_representatives_district_4
wake_01-07A,115,20,us_house_of_representatives_district_4
wake_13-05,419,208,us_house_of_representatives_district_4
wake_13-08,583,167,us_house_of_representatives_district_4
wake_43959,422,281,us_house_of_representatives_district_4
wake_43847,180,247,us_house_of_representatives_district_4
wake_43844,774,311,us_house_of_representatives_district_4
wake_43842,436,390,us_house_of_representatives_district_4
wake_PROVI 41-80,292,169,us_house_of_representatives_district_4
wake_OSCH 1-40,18945,1132,us_house_of_representatives_district_4
wake_OSGR 41-80,1768,590,us_house_of_representatives_district_4
wake_ABSEN 81-91,38,31,us_house_of_representatives_district_4
wake_OSAP 81-91,1,1,us_house_of_representatives_district_4
wake_20-04,535,575,us_house_of_representatives_district_4
wake_20-01,428,525,us_house_of_representatives_district_4
wake_44024,427,373,us_house_of_representatives_district_4
wake_44048,332,424,us_house_of_representatives_district_4
wake_13-02,297,388,us_house_of_representatives_district_4
wake_44046,568,679,us_house_of_representatives_district_4
wake_43922,504,376,us_house_of_representatives_district_4
wake_43958,846,668,us_house_of_representatives_district_4
wake_43851,765,419,us_house_of_representatives_district_4
wake_12420,511,36,us_house_of_representatives_district_4
wake_13150,382,509,us_house_of_representatives_district_4
wake_13516,367,345,us_house_of_representatives_district_4
wake_OSOP 41-80,1643,921,us_house_of_representatives_district_4
wake_OSCA 41-80,2893,1338,us_house_of_representatives_district_4
wake_OSKD 41-80,1626,914,us_house_of_representatives_district_4
wake_OSLOB 81-91,100,20,us_house_of_representatives_district_4
wake_43834,280,275,us_house_of_representatives_district_4
wake_43831,496,260,us_house_of_representatives_district_4
wake_43852,858,50,us_house_of_representatives_district_4
wake_15707,465,257,us_house_of_representatives_district_4
wake_17533,606,280,us_house_of_representatives_district_4
wake_17-08,939,679,us_house_of_representatives_district_4
wake_17-02,151,145,us_house_of_representatives_district_4
wake_16-04,361,357,us_house_of_representatives_district_4
wake_OSFB 41-80,681,358,us_house_of_representatives_district_4
wake_OSNB 41-80,768,625,us_house_of_representatives_district_4
wake_OSZB 1-40,732,338,us_house_of_representatives_district_4
wake_OSAP 41-80,1477,1047,us_house_of_representatives_district_4
wake_OSAP 1-40,5894,3469,us_house_of_representatives_district_4
wake_13-01,831,237,us_house_of_representatives_district_4
wake_44053,392,367,us_house_of_representatives_district_4
wake_18-08,584,734,us_house_of_representatives_district_4
wake_19-17,655,540,us_house_of_representatives_district_4
wake_20-09,359,531,us_house_of_representatives_district_4
wake_17-03,793,555,us_house_of_representatives_district_4
wake_13881,407,216,us_house_of_representatives_district_4
wake_43932,251,143,us_house_of_representatives_district_4
wake_43931,510,524,us_house_of_representatives_district_4
wake_43857,486,120,us_house_of_representatives_district_4
wake_43861,761,314,us_house_of_representatives_district_4
wake_43859,402,587,us_house_of_representatives_district_4
wake_43833,445,525,us_house_of_representatives_district_4
wake_43836,584,366,us_house_of_representatives_district_4
wake_OSLL 1-40,10234,4819,us_house_of_representatives_district_4
wake_OSFV 81-91,1,0,us_house_of_representatives_district_4
wake_OSAV 41-80,382,215,us_house_of_representatives_district_4
wake_OSCB 81-91,24,10,us_house_of_representatives_district_4
wake_OSCB 1-40,6689,2602,us_house_of_representatives_district_4
wake_OSTC 81-91,8,5,us_house_of_representatives_district_4
wake_OSOP 81-91,18,18,us_house_of_representatives_district_4
wake_OSTC 41-80,234,158,us_house_of_representatives_district_4
wake_18629,231,187,us_house_of_representatives_district_4
wake_43839,349,188,us_house_of_representatives_district_4
wake_13-07,481,269,us_house_of_representatives_district_4
wake_17-11,757,349,us_house_of_representatives_district_4
wake_20-15,524,496,us_house_of_representatives_district_4
wake_20-10,521,534,us_house_of_representatives_district_4
wake_OSNR 41-80,553,227,us_house_of_representatives_district_4
wake_43926,569,514,us_house_of_representatives_district_4
wake_43935,337,326,us_house_of_representatives_district_4
wake_43929,513,386,us_house_of_representatives_district_4
wake_43938,340,285,us_house_of_representatives_district_4
wake_44136,658,527,us_house_of_representatives_district_4
wake_44137,670,676,us_house_of_representatives_district_4
wake_ABSEN 1-40,8118,5106,us_house_of_representatives_district_4
wake_43936,524,495,us_house_of_representatives_district_4
wake_43850,592,102,us_house_of_representatives_district_4
wake_14611,974,91,us_house_of_representatives_district_4
wake_OSZB 41-80,381,211,us_house_of_representatives_district_4
wake_TRANS 81-91,0,0,us_house_of_representatives_district_4
wake_14977,493,250,us_house_of_representatives_district_4
wake_16803,627,114,us_house_of_representatives_district_4
wake_16072,595,385,us_house_of_representatives_district_4
wake_43856,639,43,us_house_of_representatives_district_4
wake_43853,920,788,us_house_of_representatives_district_4
wake_12785,507,30,us_house_of_representatives_district_4
wake_43952,597,585,us_house_of_representatives_district_4
wake_43957,643,785,us_house_of_representatives_district_4
wake_20-03,355,566,us_house_of_representatives_district_4
wake_OSLOB 1-40,8111,2116,us_house_of_representatives_district_4
wake_OSWA 1-40,582,260,us_house_of_representatives_district_4
wake_OSWA 81-91,1,0,us_house_of_representatives_district_4
wake_OSCB 41-80,603,233,us_house_of_representatives_district_4
wake_OSZB 81-91,8,0,us_house_of_representatives_district_4
wake_TRANS 41-80,0,0,us_house_of_representatives_district_4
wake_OSHS 81-91,0,0,us_house_of_representatives_district_4
wake_OSKD 81-91,74,30,us_house_of_representatives_district_4
wake_OSCA 1-40,15590,7141,us_house_of_representatives_district_4
wake_OSFV 1-40,67,64,us_house_of_representatives_district_4
