prec_id,Paul Luebke,election
durham_43,1812,nc_house_of_representatives_district_030
durham_4,648,nc_house_of_representatives_district_030
durham_38,871,nc_house_of_representatives_district_030
durham_39,859,nc_house_of_representatives_district_030
durham_30-1,488,nc_house_of_representatives_district_030
durham_48,429,nc_house_of_representatives_district_030
durham_5,630,nc_house_of_representatives_district_030
durham_3,557,nc_house_of_representatives_district_030
durham_6,507,nc_house_of_representatives_district_030
durham_24,411,nc_house_of_representatives_district_030
durham_37,1080,nc_house_of_representatives_district_030
durham_ONESTOP,7713,nc_house_of_representatives_district_030
durham_50,1051,nc_house_of_representatives_district_030
durham_35.3,1355,nc_house_of_representatives_district_030
durham_33,882,nc_house_of_representatives_district_030
durham_31,595,nc_house_of_representatives_district_030
durham_53-1,540,nc_house_of_representatives_district_030
durham_53-2,1054,nc_house_of_representatives_district_030
durham_51,439,nc_house_of_representatives_district_030
durham_27,842,nc_house_of_representatives_district_030
