prec_id,Bill Rabon,election
brunswick_2,2442,nc_state_senate_district_08
brunswick_5,1802,nc_state_senate_district_08
brunswick_1,752,nc_state_senate_district_08
brunswick_ABSENTEE MAIL,1613,nc_state_senate_district_08
brunswick_3,543,nc_state_senate_district_08
brunswick_6,731,nc_state_senate_district_08
brunswick_04B1,1757,nc_state_senate_district_08
brunswick_04A,3960,nc_state_senate_district_08
brunswick_04C1,1361,nc_state_senate_district_08
brunswick_CURBSIDE,593,nc_state_senate_district_08
brunswick_8,2528,nc_state_senate_district_08
brunswick_22,1404,nc_state_senate_district_08
brunswick_10A,1750,nc_state_senate_district_08
brunswick_21,2435,nc_state_senate_district_08
brunswick_18,906,nc_state_senate_district_08
brunswick_13,1486,nc_state_senate_district_08
brunswick_9,598,nc_state_senate_district_08
brunswick_23,1415,nc_state_senate_district_08
brunswick_15,2879,nc_state_senate_district_08
brunswick_17,2704,nc_state_senate_district_08
brunswick_10B,2804,nc_state_senate_district_08
brunswick_12,1497,nc_state_senate_district_08
brunswick_7,1585,nc_state_senate_district_08
brunswick_16,2146,nc_state_senate_district_08
brunswick_20,1711,nc_state_senate_district_08
brunswick_11,911,nc_state_senate_district_08
brunswick_14,2239,nc_state_senate_district_08
brunswick_19,2133,nc_state_senate_district_08
bladen_P25,207,nc_state_senate_district_08
bladen_P75,122,nc_state_senate_district_08
bladen_P502,114,nc_state_senate_district_08
bladen_P55,159,nc_state_senate_district_08
bladen_P65,165,nc_state_senate_district_08
bladen_P30,78,nc_state_senate_district_08
bladen_MAIL ABSENTEE,365,nc_state_senate_district_08
bladen_P70,97,nc_state_senate_district_08
bladen_P201,170,nc_state_senate_district_08
bladen_P501,192,nc_state_senate_district_08
bladen_P15,351,nc_state_senate_district_08
bladen_P35,83,nc_state_senate_district_08
bladen_P60,216,nc_state_senate_district_08
bladen_P202,267,nc_state_senate_district_08
bladen_P45,150,nc_state_senate_district_08
bladen_P40,242,nc_state_senate_district_08
bladen_P80,229,nc_state_senate_district_08
bladen_P10,151,nc_state_senate_district_08
new hanover_OS CAB PAPER,0,nc_state_senate_district_08
new hanover_OS CFCC PAPER,7,nc_state_senate_district_08
new hanover_ABSENTEE,0,nc_state_senate_district_08
new hanover_OS GVT PAPER,2,nc_state_senate_district_08
new hanover_OS SRC PAPER,5,nc_state_senate_district_08
new hanover_W03,269,nc_state_senate_district_08
new hanover_W29,291,nc_state_senate_district_08
new hanover_OS NLB PAPER,0,nc_state_senate_district_08
pender_LU16,570,nc_state_senate_district_08
pender_MH07,221,nc_state_senate_district_08
pender_SC13,1789,nc_state_senate_district_08
pender_CF11,1527,nc_state_senate_district_08
pender_MT19,1615,nc_state_senate_district_08
pender_NB01,847,nc_state_senate_district_08
pender_SH12,1109,nc_state_senate_district_08
pender_SB02,1320,nc_state_senate_district_08
pender_UT14,2139,nc_state_senate_district_08
pender_UH08,223,nc_state_senate_district_08
pender_GR06,605,nc_state_senate_district_08
pender_PL10,265,nc_state_senate_district_08
pender_SP15,1777,nc_state_senate_district_08
pender_UU17,452,nc_state_senate_district_08
pender_LT18,2206,nc_state_senate_district_08
pender_LC09,780,nc_state_senate_district_08
pender_CURBSIDE,113,nc_state_senate_district_08
pender_CS04,453,nc_state_senate_district_08
pender_CL05,513,nc_state_senate_district_08
pender_CT03,79,nc_state_senate_district_08
pender_RP20,814,nc_state_senate_district_08
