prec_id,Michele D. Presnell,Rhonda Cole Schandevel,election
haywood_BE-1,437,321,nc_house_of_representatives_district_118
haywood_CL-S,798,754,nc_house_of_representatives_district_118
haywood_PC,433,305,nc_house_of_representatives_district_118
haywood_P,1066,684,nc_house_of_representatives_district_118
haywood_BE-7,472,325,nc_house_of_representatives_district_118
haywood_BE-2,350,366,nc_house_of_representatives_district_118
haywood_BC,11,6,nc_house_of_representatives_district_118
haywood_FC-1,255,199,nc_house_of_representatives_district_118
haywood_EF,488,279,nc_house_of_representatives_district_118
haywood_CE,197,86,nc_house_of_representatives_district_118
haywood_BE-4,597,489,nc_house_of_representatives_district_118
haywood_CL-N,684,671,nc_house_of_representatives_district_118
haywood_CURBSIDE,100,127,nc_house_of_representatives_district_118
haywood_WO,98,88,nc_house_of_representatives_district_118
haywood_ABSENTEE,329,279,nc_house_of_representatives_district_118
haywood_JC,1094,857,nc_house_of_representatives_district_118
haywood_IH,1088,888,nc_house_of_representatives_district_118
haywood_FC-2,59,49,nc_house_of_representatives_district_118
haywood_CR,510,527,nc_house_of_representatives_district_118
haywood_BE-3,666,539,nc_house_of_representatives_district_118
haywood_BE56,521,611,nc_house_of_representatives_district_118
madison_GRAPEV,417,298,nc_house_of_representatives_district_118
madison_LAUREL,338,239,nc_house_of_representatives_district_118
madison_BEECH,1079,659,nc_house_of_representatives_district_118
madison_MARS H,1320,1185,nc_house_of_representatives_district_118
madison_EBBS C,430,254,nc_house_of_representatives_district_118
madison_SANDY,193,151,nc_house_of_representatives_district_118
madison_REVERE,62,125,nc_house_of_representatives_district_118
madison_HOT SP,271,258,nc_house_of_representatives_district_118
madison_NORTH,800,734,nc_house_of_representatives_district_118
madison_SPRING,258,249,nc_house_of_representatives_district_118
madison_WALNUT,446,385,nc_house_of_representatives_district_118
madison_SOUTH,305,335,nc_house_of_representatives_district_118
yancey_07 BRU,149,109,nc_house_of_representatives_district_118
yancey_09 SOU,681,691,nc_house_of_representatives_district_118
yancey_08 CRA,1095,728,nc_house_of_representatives_district_118
yancey_02 CAN,576,365,nc_house_of_representatives_district_118
yancey_11 PRI,567,288,nc_house_of_representatives_district_118
yancey_03 EGY,189,145,nc_house_of_representatives_district_118
yancey_04 RAM,132,80,nc_house_of_representatives_district_118
yancey_05 GRE,171,143,nc_house_of_representatives_district_118
yancey_01 BUR,1205,1069,nc_house_of_representatives_district_118
yancey_10 PEN,218,151,nc_house_of_representatives_district_118
yancey_06 JAC,566,432,nc_house_of_representatives_district_118
