prec_id,Joel Ford,Richard Rivette,election
mecklenburg_CURBSIDE,898,41,nc_state_senate_district_38
mecklenburg_223.1,969,207,nc_state_senate_district_38
mecklenburg_224,534,418,nc_state_senate_district_38
mecklenburg_200,268,311,nc_state_senate_district_38
mecklenburg_239,897,378,nc_state_senate_district_38
mecklenburg_210,2188,216,nc_state_senate_district_38
mecklenburg_211,1802,479,nc_state_senate_district_38
mecklenburg_79,479,239,nc_state_senate_district_38
mecklenburg_150,864,450,nc_state_senate_district_38
mecklenburg_53,966,89,nc_state_senate_district_38
mecklenburg_80,837,264,nc_state_senate_district_38
mecklenburg_24,740,91,nc_state_senate_district_38
mecklenburg_222,1728,559,nc_state_senate_district_38
mecklenburg_81,1219,270,nc_state_senate_district_38
mecklenburg_40,721,88,nc_state_senate_district_38
mecklenburg_12,676,51,nc_state_senate_district_38
mecklenburg_41,746,78,nc_state_senate_district_38
mecklenburg_89,1541,786,nc_state_senate_district_38
mecklenburg_147,961,154,nc_state_senate_district_38
mecklenburg_22,1086,401,nc_state_senate_district_38
mecklenburg_39,668,23,nc_state_senate_district_38
mecklenburg_78.1,412,134,nc_state_senate_district_38
mecklenburg_52,900,38,nc_state_senate_district_38
mecklenburg_23,510,44,nc_state_senate_district_38
mecklenburg_31,802,32,nc_state_senate_district_38
mecklenburg_135,1948,282,nc_state_senate_district_38
mecklenburg_141,455,128,nc_state_senate_district_38
mecklenburg_213,1349,168,nc_state_senate_district_38
mecklenburg_151,1040,312,nc_state_senate_district_38
mecklenburg_16,1363,20,nc_state_senate_district_38
mecklenburg_128,773,492,nc_state_senate_district_38
mecklenburg_25,830,10,nc_state_senate_district_38
mecklenburg_214,1027,435,nc_state_senate_district_38
mecklenburg_212,1962,424,nc_state_senate_district_38
mecklenburg_238.1,651,435,nc_state_senate_district_38
