prec_id,Tommy Tucker,election
union_8,478,nc_state_senate_district_35
union_23,729,nc_state_senate_district_35
union_26,567,nc_state_senate_district_35
union_029C,662,nc_state_senate_district_35
union_037A,1097,nc_state_senate_district_35
union_ONESTOP,0,nc_state_senate_district_35
union_43,108,nc_state_senate_district_35
union_6,576,nc_state_senate_district_35
union_11,897,nc_state_senate_district_35
union_14,369,nc_state_senate_district_35
union_21,780,nc_state_senate_district_35
union_9,273,nc_state_senate_district_35
union_1,125,nc_state_senate_district_35
union_24,754,nc_state_senate_district_35
union_15,1263,nc_state_senate_district_35
union_029B,577,nc_state_senate_district_35
union_40,1322,nc_state_senate_district_35
union_7,919,nc_state_senate_district_35
union_27,631,nc_state_senate_district_35
union_028C,1128,nc_state_senate_district_35
union_028D,1216,nc_state_senate_district_35
union_020A,951,nc_state_senate_district_35
union_30,1224,nc_state_senate_district_35
union_16,1248,nc_state_senate_district_35
union_038A,776,nc_state_senate_district_35
union_36,581,nc_state_senate_district_35
union_10,240,nc_state_senate_district_35
union_13,1021,nc_state_senate_district_35
union_4,135,nc_state_senate_district_35
union_5,783,nc_state_senate_district_35
union_25,578,nc_state_senate_district_35
union_020B,1090,nc_state_senate_district_35
union_22,1074,nc_state_senate_district_35
union_18,1030,nc_state_senate_district_35
union_42,470,nc_state_senate_district_35
union_029A,1075,nc_state_senate_district_35
union_39,667,nc_state_senate_district_35
union_41,1196,nc_state_senate_district_35
union_3,252,nc_state_senate_district_35
union_2,321,nc_state_senate_district_35
union_19,1489,nc_state_senate_district_35
union_017B,1427,nc_state_senate_district_35
union_33,778,nc_state_senate_district_35
union_34,1083,nc_state_senate_district_35
union_038B,780,nc_state_senate_district_35
union_017A,981,nc_state_senate_district_35
union_028A,1487,nc_state_senate_district_35
union_028B,1135,nc_state_senate_district_35
union_31,845,nc_state_senate_district_35
