prec_id,Kathy Harrington,election
gaston_9,244,nc_state_senate_district_43
gaston_10,386,nc_state_senate_district_43
gaston_26,460,nc_state_senate_district_43
gaston_24,464,nc_state_senate_district_43
gaston_30,334,nc_state_senate_district_43
gaston_44,868,nc_state_senate_district_43
gaston_13,494,nc_state_senate_district_43
gaston_18,833,nc_state_senate_district_43
gaston_8,155,nc_state_senate_district_43
gaston_32,507,nc_state_senate_district_43
gaston_ONESTOP,14279,nc_state_senate_district_43
gaston_12,443,nc_state_senate_district_43
gaston_45,443,nc_state_senate_district_43
gaston_7,18,nc_state_senate_district_43
gaston_25,414,nc_state_senate_district_43
gaston_14,278,nc_state_senate_district_43
gaston_46,661,nc_state_senate_district_43
gaston_15,978,nc_state_senate_district_43
gaston_17,677,nc_state_senate_district_43
gaston_1,171,nc_state_senate_district_43
gaston_16,731,nc_state_senate_district_43
gaston_19,639,nc_state_senate_district_43
gaston_4,669,nc_state_senate_district_43
gaston_27,920,nc_state_senate_district_43
gaston_28,743,nc_state_senate_district_43
gaston_31,730,nc_state_senate_district_43
gaston_6,91,nc_state_senate_district_43
gaston_23,605,nc_state_senate_district_43
gaston_3,164,nc_state_senate_district_43
gaston_11,157,nc_state_senate_district_43
gaston_29,815,nc_state_senate_district_43
gaston_2,227,nc_state_senate_district_43
gaston_5,162,nc_state_senate_district_43
gaston_33,312,nc_state_senate_district_43
gaston_40,504,nc_state_senate_district_43
gaston_36,747,nc_state_senate_district_43
gaston_41,437,nc_state_senate_district_43
gaston_37,393,nc_state_senate_district_43
gaston_21,340,nc_state_senate_district_43
gaston_22,780,nc_state_senate_district_43
gaston_20,581,nc_state_senate_district_43
gaston_38,477,nc_state_senate_district_43
gaston_39,677,nc_state_senate_district_43
gaston_34,416,nc_state_senate_district_43
gaston_35,377,nc_state_senate_district_43
