prec_id,Carla Cunningham,election
mecklenburg_135,3904,nc_house_of_representatives_district_106
mecklenburg_CURBSIDE 21-40,573,nc_house_of_representatives_district_106
mecklenburg_CURBSIDE 41-60,182,nc_house_of_representatives_district_106
mecklenburg_82,1776,nc_house_of_representatives_district_106
mecklenburg_132,945,nc_house_of_representatives_district_106
mecklenburg_42,1602,nc_house_of_representatives_district_106
mecklenburg_28,1236,nc_house_of_representatives_district_106
mecklenburg_141,2330,nc_house_of_representatives_district_106
mecklenburg_146,2321,nc_house_of_representatives_district_106
mecklenburg_105,2298,nc_house_of_representatives_district_106
mecklenburg_56,143,nc_house_of_representatives_district_106
mecklenburg_213,2745,nc_house_of_representatives_district_106
mecklenburg_26,1924,nc_house_of_representatives_district_106
mecklenburg_126,1769,nc_house_of_representatives_district_106
mecklenburg_107.1,2122,nc_house_of_representatives_district_106
mecklenburg_27,664,nc_house_of_representatives_district_106
