prec_id,Bryan Holloway,election
rockingham_MC,1198,nc_house_of_representatives_district_091
rockingham_NB,233,nc_house_of_representatives_district_091
rockingham_MA,1272,nc_house_of_representatives_district_091
rockingham_HO,192,nc_house_of_representatives_district_091
rockingham_WS,2126,nc_house_of_representatives_district_091
rockingham_MS,2064,nc_house_of_representatives_district_091
stokes_1,228,nc_house_of_representatives_district_091
stokes_20,386,nc_house_of_representatives_district_091
stokes_14,588,nc_house_of_representatives_district_091
stokes_16,301,nc_house_of_representatives_district_091
stokes_19,284,nc_house_of_representatives_district_091
stokes_4,501,nc_house_of_representatives_district_091
stokes_7,170,nc_house_of_representatives_district_091
stokes_12,526,nc_house_of_representatives_district_091
stokes_15,419,nc_house_of_representatives_district_091
stokes_17,368,nc_house_of_representatives_district_091
stokes_2,506,nc_house_of_representatives_district_091
stokes_5,220,nc_house_of_representatives_district_091
stokes_8,365,nc_house_of_representatives_district_091
stokes_ONESTOP,2926,nc_house_of_representatives_district_091
stokes_11,776,nc_house_of_representatives_district_091
stokes_10,772,nc_house_of_representatives_district_091
stokes_3,430,nc_house_of_representatives_district_091
stokes_6,211,nc_house_of_representatives_district_091
stokes_9,573,nc_house_of_representatives_district_091
stokes_18,82,nc_house_of_representatives_district_091
stokes_13,463,nc_house_of_representatives_district_091
