prec_id,Jacqueline Schaffer,election
mecklenburg_88,33,nc_house_of_representatives_district_105
mecklenburg_87,279,nc_house_of_representatives_district_105
mecklenburg_CURBSIDE,26,nc_house_of_representatives_district_105
mecklenburg_225,251,nc_house_of_representatives_district_105
mecklenburg_91,485,nc_house_of_representatives_district_105
mecklenburg_227,1116,nc_house_of_representatives_district_105
mecklenburg_121,845,nc_house_of_representatives_district_105
mecklenburg_232,1316,nc_house_of_representatives_district_105
mecklenburg_148,2180,nc_house_of_representatives_district_105
mecklenburg_112,752,nc_house_of_representatives_district_105
mecklenburg_113,1168,nc_house_of_representatives_district_105
mecklenburg_137,1703,nc_house_of_representatives_district_105
mecklenburg_139.1,914,nc_house_of_representatives_district_105
mecklenburg_231,789,nc_house_of_representatives_district_105
mecklenburg_144,1081,nc_house_of_representatives_district_105
mecklenburg_129,156,nc_house_of_representatives_district_105
mecklenburg_140,1417,nc_house_of_representatives_district_105
