prec_id,David R. Lewis,Jon Blum,election
harnett_OS ANDERSON,1096,765,nc_house_of_representatives_district_053
harnett_OS ANGIER,1223,722,nc_house_of_representatives_district_053
harnett_PR32,585,303,nc_house_of_representatives_district_053
harnett_PR29,809,478,nc_house_of_representatives_district_053
harnett_PR26,785,321,nc_house_of_representatives_district_053
harnett_PR01,860,561,nc_house_of_representatives_district_053
harnett_OS ERWIN,2071,1198,nc_house_of_representatives_district_053
harnett_OS LOBBY,6057,4449,nc_house_of_representatives_district_053
harnett_PR24,1235,396,nc_house_of_representatives_district_053
harnett_ABSENTEE,820,378,nc_house_of_representatives_district_053
harnett_PR31,198,215,nc_house_of_representatives_district_053
harnett_PR20,370,440,nc_house_of_representatives_district_053
harnett_PR08,764,513,nc_house_of_representatives_district_053
harnett_OS WESTERN,1093,758,nc_house_of_representatives_district_053
harnett_PR07,735,423,nc_house_of_representatives_district_053
harnett_PR25,663,586,nc_house_of_representatives_district_053
