prec_id,Robert Pittenger,Shawn Eckles (Write-In),Write-In (Miscellaneous),election
iredell_SH-A,1188,16,24,us_house_of_representatives_district_09
iredell_SB,785,3,23,us_house_of_representatives_district_09
iredell_SH-B,1160,15,24,us_house_of_representatives_district_09
iredell_CD,1761,24,49,us_house_of_representatives_district_09
iredell_FT,2666,46,108,us_house_of_representatives_district_09
iredell_OL,560,0,14,us_house_of_representatives_district_09
iredell_BE,2010,33,44,us_house_of_representatives_district_09
iredell_DV1-B,3422,15,97,us_house_of_representatives_district_09
iredell_CC1,1801,29,58,us_house_of_representatives_district_09
iredell_DV2-B,1453,10,66,us_house_of_representatives_district_09
iredell_BA,1393,10,27,us_house_of_representatives_district_09
iredell_CC3,2353,23,74,us_house_of_representatives_district_09
iredell_DV2-A,1558,5,60,us_house_of_representatives_district_09
iredell_CC2,1487,19,81,us_house_of_representatives_district_09
iredell_CC4,1708,13,85,us_house_of_representatives_district_09
iredell_CH-B,601,5,34,us_house_of_representatives_district_09
iredell_DV1-A,2310,14,56,us_house_of_representatives_district_09
mecklenburg_20,676,11,72,us_house_of_representatives_district_09
mecklenburg_88,645,10,42,us_house_of_representatives_district_09
mecklenburg_18,704,5,36,us_house_of_representatives_district_09
mecklenburg_58,383,6,38,us_house_of_representatives_district_09
mecklenburg_49,626,9,35,us_house_of_representatives_district_09
mecklenburg_50,429,18,49,us_house_of_representatives_district_09
mecklenburg_101,784,3,16,us_house_of_representatives_district_09
mecklenburg_10,609,19,83,us_house_of_representatives_district_09
mecklenburg_21,447,18,52,us_house_of_representatives_district_09
mecklenburg_86,892,2,22,us_house_of_representatives_district_09
mecklenburg_87,620,14,39,us_house_of_representatives_district_09
mecklenburg_CURBSIDE,315,6,22,us_house_of_representatives_district_09
mecklenburg_59,318,5,27,us_house_of_representatives_district_09
mecklenburg_51,647,12,61,us_house_of_representatives_district_09
mecklenburg_75,1125,12,29,us_house_of_representatives_district_09
mecklenburg_92,1022,7,36,us_house_of_representatives_district_09
mecklenburg_76,943,8,58,us_house_of_representatives_district_09
mecklenburg_1,530,8,32,us_house_of_representatives_district_09
