prec_id,"James H. (J.H.) Langdon, Jr.",election
johnston_PR36,983,nc_house_of_representatives_district_028
johnston_PR37,1379,nc_house_of_representatives_district_028
johnston_PR08,764,nc_house_of_representatives_district_028
johnston_PR19,558,nc_house_of_representatives_district_028
johnston_PR31B,1247,nc_house_of_representatives_district_028
johnston_PR26,403,nc_house_of_representatives_district_028
johnston_PR33,1247,nc_house_of_representatives_district_028
johnston_PR38,233,nc_house_of_representatives_district_028
johnston_PR04,445,nc_house_of_representatives_district_028
johnston_PR07,1006,nc_house_of_representatives_district_028
johnston_PR14,845,nc_house_of_representatives_district_028
johnston_PR23A,1118,nc_house_of_representatives_district_028
johnston_PR22,1068,nc_house_of_representatives_district_028
johnston_PR35,1530,nc_house_of_representatives_district_028
johnston_PR31A,833,nc_house_of_representatives_district_028
johnston_PR13,881,nc_house_of_representatives_district_028
johnston_PR21,891,nc_house_of_representatives_district_028
johnston_PR24,391,nc_house_of_representatives_district_028
johnston_PR25,503,nc_house_of_representatives_district_028
johnston_PR23B,1162,nc_house_of_representatives_district_028
