prec_id,Christian Cano,Robert Pittenger,election
mecklenburg_110,451,560,us_house_of_representatives_district_9
mecklenburg_90,559,617,us_house_of_representatives_district_9
mecklenburg_215,992,1336,us_house_of_representatives_district_9
mecklenburg_119,522,542,us_house_of_representatives_district_9
mecklenburg_100,922,1012,us_house_of_representatives_district_9
mecklenburg_101,779,895,us_house_of_representatives_district_9
mecklenburg_1,554,520,us_house_of_representatives_district_9
mecklenburg_92,898,1143,us_house_of_representatives_district_9
mecklenburg_73,589,652,us_house_of_representatives_district_9
mecklenburg_226,1213,1259,us_house_of_representatives_district_9
mecklenburg_121,1045,1743,us_house_of_representatives_district_9
mecklenburg_69,1217,1663,us_house_of_representatives_district_9
mecklenburg_75,876,1289,us_house_of_representatives_district_9
mecklenburg_72,516,595,us_house_of_representatives_district_9
mecklenburg_8,734,976,us_house_of_representatives_district_9
mecklenburg_CURBSIDE 1-20,50,76,us_house_of_representatives_district_9
mecklenburg_86,549,909,us_house_of_representatives_district_9
mecklenburg_114,860,1224,us_house_of_representatives_district_9
mecklenburg_112,613,984,us_house_of_representatives_district_9
mecklenburg_136,592,906,us_house_of_representatives_district_9
mecklenburg_118,897,1013,us_house_of_representatives_district_9
mecklenburg_2,133,50,us_house_of_representatives_district_9
mecklenburg_233,997,1576,us_house_of_representatives_district_9
mecklenburg_218,638,1216,us_house_of_representatives_district_9
mecklenburg_219,606,1045,us_house_of_representatives_district_9
mecklenburg_CURBSIDE 81-96,13,30,us_house_of_representatives_district_9
mecklenburg_70,679,904,us_house_of_representatives_district_9
mecklenburg_74,822,1094,us_house_of_representatives_district_9
mecklenburg_76,950,1113,us_house_of_representatives_district_9
mecklenburg_111,878,1103,us_house_of_representatives_district_9
mecklenburg_93,517,796,us_house_of_representatives_district_9
mecklenburg_96,736,730,us_house_of_representatives_district_9
mecklenburg_32,517,941,us_house_of_representatives_district_9
mecklenburg_57,622,780,us_house_of_representatives_district_9
mecklenburg_216,1492,1586,us_house_of_representatives_district_9
mecklenburg_232,1463,2009,us_house_of_representatives_district_9
mecklenburg_144,1023,1347,us_house_of_representatives_district_9
mecklenburg_19,521,732,us_house_of_representatives_district_9
mecklenburg_137,1462,2317,us_house_of_representatives_district_9
mecklenburg_131,532,754,us_house_of_representatives_district_9
mecklenburg_227,1758,2158,us_house_of_representatives_district_9
mecklenburg_48,537,873,us_house_of_representatives_district_9
mecklenburg_113,989,1417,us_house_of_representatives_district_9
richmond_10,233,96,us_house_of_representatives_district_9
richmond_11,108,167,us_house_of_representatives_district_9
richmond_ABSENTEE,112,181,us_house_of_representatives_district_9
richmond_9,473,757,us_house_of_representatives_district_9
richmond_13,104,187,us_house_of_representatives_district_9
richmond_6,91,240,us_house_of_representatives_district_9
richmond_3,56,176,us_house_of_representatives_district_9
richmond_14,61,24,us_house_of_representatives_district_9
richmond_2,307,577,us_house_of_representatives_district_9
richmond_8,451,345,us_house_of_representatives_district_9
richmond_5,37,90,us_house_of_representatives_district_9
richmond_16,14,105,us_house_of_representatives_district_9
richmond_15,25,59,us_house_of_representatives_district_9
richmond_1,550,368,us_house_of_representatives_district_9
richmond_12,149,275,us_house_of_representatives_district_9
richmond_4,161,190,us_house_of_representatives_district_9
richmond_7,123,134,us_house_of_representatives_district_9
robeson_11,263,809,us_house_of_representatives_district_9
robeson_8,119,450,us_house_of_representatives_district_9
robeson_29,429,208,us_house_of_representatives_district_9
robeson_OS PEMBROKE,1070,981,us_house_of_representatives_district_9
robeson_OS FAIRMONT,681,318,us_house_of_representatives_district_9
robeson_2,346,216,us_house_of_representatives_district_9
robeson_22,402,326,us_house_of_representatives_district_9
robeson_34,165,279,us_house_of_representatives_district_9
robeson_35,274,414,us_house_of_representatives_district_9
robeson_14,126,155,us_house_of_representatives_district_9
robeson_19,600,218,us_house_of_representatives_district_9
robeson_OS MAXTON,731,310,us_house_of_representatives_district_9
robeson_OS ST PAULS,680,776,us_house_of_representatives_district_9
robeson_OS RED SPRINGS,886,363,us_house_of_representatives_district_9
robeson_39,288,241,us_house_of_representatives_district_9
robeson_38,58,91,us_house_of_representatives_district_9
robeson_20,178,245,us_house_of_representatives_district_9
robeson_16,237,9,us_house_of_representatives_district_9
robeson_1,135,180,us_house_of_representatives_district_9
robeson_11A,185,240,us_house_of_representatives_district_9
robeson_4,318,347,us_house_of_representatives_district_9
robeson_7,215,106,us_house_of_representatives_district_9
robeson_25,193,208,us_house_of_representatives_district_9
robeson_28,153,206,us_house_of_representatives_district_9
robeson_41,261,712,us_house_of_representatives_district_9
