prec_id,Erica Smith-Ingram,election
bertie_MH,154,nc_state_senate_district_03
bertie_W1,574,nc_state_senate_district_03
bertie_C2,282,nc_state_senate_district_03
bertie_WH,194,nc_state_senate_district_03
bertie_C1,174,nc_state_senate_district_03
bertie_WD,209,nc_state_senate_district_03
bertie_M2,220,nc_state_senate_district_03
bertie_W2,94,nc_state_senate_district_03
bertie_RX,301,nc_state_senate_district_03
bertie_SN,163,nc_state_senate_district_03
bertie_M1,158,nc_state_senate_district_03
bertie_IW,123,nc_state_senate_district_03
bertie_ONESTOP,1818,nc_state_senate_district_03
chowan_6,229,nc_state_senate_district_03
chowan_2,393,nc_state_senate_district_03
chowan_ONESTOP,1488,nc_state_senate_district_03
chowan_3,246,nc_state_senate_district_03
chowan_1,327,nc_state_senate_district_03
chowan_4,184,nc_state_senate_district_03
chowan_5,158,nc_state_senate_district_03
edgecombe_1401,141,nc_state_senate_district_03
edgecombe_501,127,nc_state_senate_district_03
edgecombe_401,142,nc_state_senate_district_03
edgecombe_801,193,nc_state_senate_district_03
edgecombe_701,412,nc_state_senate_district_03
edgecombe_102,507,nc_state_senate_district_03
edgecombe_103,421,nc_state_senate_district_03
edgecombe_201,264,nc_state_senate_district_03
edgecombe_1203,468,nc_state_senate_district_03
edgecombe_1205,218,nc_state_senate_district_03
edgecombe_901,212,nc_state_senate_district_03
edgecombe_1202,285,nc_state_senate_district_03
edgecombe_101,510,nc_state_senate_district_03
edgecombe_1301,204,nc_state_senate_district_03
edgecombe_601,302,nc_state_senate_district_03
edgecombe_ONESTOP,6238,nc_state_senate_district_03
edgecombe_1204,389,nc_state_senate_district_03
edgecombe_1201,731,nc_state_senate_district_03
edgecombe_1101,185,nc_state_senate_district_03
edgecombe_104,374,nc_state_senate_district_03
edgecombe_1001,283,nc_state_senate_district_03
edgecombe_301,92,nc_state_senate_district_03
hertford_M1,627,nc_state_senate_district_03
hertford_ONESTOP,1145,nc_state_senate_district_03
hertford_A3,386,nc_state_senate_district_03
hertford_ML,96,nc_state_senate_district_03
hertford_SJ,212,nc_state_senate_district_03
hertford_CM,106,nc_state_senate_district_03
hertford_BR,151,nc_state_senate_district_03
hertford_UN,183,nc_state_senate_district_03
hertford_WN,172,nc_state_senate_district_03
hertford_A2,405,nc_state_senate_district_03
hertford_A1,404,nc_state_senate_district_03
hertford_CO,157,nc_state_senate_district_03
hertford_HV,184,nc_state_senate_district_03
hertford_M2,313,nc_state_senate_district_03
martin_GN,255,nc_state_senate_district_03
martin_R2,406,nc_state_senate_district_03
martin_HM,235,nc_state_senate_district_03
martin_ONESTOP,1821,nc_state_senate_district_03
martin_GR,248,nc_state_senate_district_03
martin_R1,296,nc_state_senate_district_03
martin_W1,450,nc_state_senate_district_03
martin_HS,96,nc_state_senate_district_03
martin_CR,221,nc_state_senate_district_03
martin_J,397,nc_state_senate_district_03
martin_W,207,nc_state_senate_district_03
martin_BG,328,nc_state_senate_district_03
martin_W2,568,nc_state_senate_district_03
martin_PP,73,nc_state_senate_district_03
northampton_GALATI,98,nc_state_senate_district_03
northampton_SEABOA,228,nc_state_senate_district_03
northampton_LAKE G,296,nc_state_senate_district_03
northampton_LASKER,58,nc_state_senate_district_03
northampton_NEWTOW,135,nc_state_senate_district_03
northampton_ONESTOP,1601,nc_state_senate_district_03
northampton_PENDLE,55,nc_state_senate_district_03
northampton_CREEKS,102,nc_state_senate_district_03
northampton_MILWAU,99,nc_state_senate_district_03
northampton_POTECA,42,nc_state_senate_district_03
northampton_JACKSO,136,nc_state_senate_district_03
northampton_RICH S,318,nc_state_senate_district_03
northampton_REHOBE,74,nc_state_senate_district_03
northampton_WOODLA,172,nc_state_senate_district_03
northampton_GARYSB,425,nc_state_senate_district_03
northampton_SEVERN,76,nc_state_senate_district_03
northampton_CONWAY,169,nc_state_senate_district_03
northampton_GASTON,541,nc_state_senate_district_03
northampton_PLEASA,91,nc_state_senate_district_03
tyrrell_15,104,nc_state_senate_district_03
tyrrell_3,37,nc_state_senate_district_03
tyrrell_2,243,nc_state_senate_district_03
tyrrell_1,84,nc_state_senate_district_03
tyrrell_14,8,nc_state_senate_district_03
tyrrell_16,3,nc_state_senate_district_03
tyrrell_ONESTOP,279,nc_state_senate_district_03
washington_P3,412,nc_state_senate_district_03
washington_ONESTOP,1479,nc_state_senate_district_03
washington_SK,231,nc_state_senate_district_03
washington_P1,261,nc_state_senate_district_03
washington_SC,312,nc_state_senate_district_03
washington_LM,498,nc_state_senate_district_03
washington_P2,212,nc_state_senate_district_03
