prec_id,Jay Chaudhuri,Eric Weaver,election
wake_43924,373,331,nc_state_senate_district_16
wake_OSLOB 41-80,1233,270,nc_state_senate_district_16
wake_OSNB 1-40,18,25,nc_state_senate_district_16
wake_ABSEN 41-80,748,497,nc_state_senate_district_16
wake_OSWD 41-80,7,6,nc_state_senate_district_16
wake_OSWA 41-80,26,10,nc_state_senate_district_16
wake_OSGR 81-91,11,8,nc_state_senate_district_16
wake_OSAV 81-91,5,2,nc_state_senate_district_16
wake_OSNR 1-40,43,21,nc_state_senate_district_16
wake_43925,307,263,nc_state_senate_district_16
wake_44022,644,600,nc_state_senate_district_16
wake_17899,620,336,nc_state_senate_district_16
wake_43858,97,70,nc_state_senate_district_16
wake_11689,538,301,nc_state_senate_district_16
wake_12055,303,295,nc_state_senate_district_16
wake_44049,379,224,nc_state_senate_district_16
wake_18-01,871,544,nc_state_senate_district_16
wake_18-06,648,410,nc_state_senate_district_16
wake_OSCA 81-91,103,49,nc_state_senate_district_16
wake_OSLL 81-91,40,26,nc_state_senate_district_16
wake_PROVI 1-40,403,196,nc_state_senate_district_16
wake_43832,436,297,nc_state_senate_district_16
wake_OSNR 81-91,0,0,nc_state_senate_district_16
wake_OSTC 1-40,1610,994,nc_state_senate_district_16
wake_TRANS 1-40,0,0,nc_state_senate_district_16
wake_43923,450,444,nc_state_senate_district_16
wake_43934,428,598,nc_state_senate_district_16
wake_OSAB 41-80,38,17,nc_state_senate_district_16
wake_01-07A,117,13,nc_state_senate_district_16
wake_43959,407,270,nc_state_senate_district_16
wake_43844,674,285,nc_state_senate_district_16
wake_PROVI 41-80,101,65,nc_state_senate_district_16
wake_OSCH 1-40,2838,339,nc_state_senate_district_16
wake_OSGR 41-80,240,96,nc_state_senate_district_16
wake_ABSEN 81-91,28,22,nc_state_senate_district_16
wake_OSAP 81-91,1,1,nc_state_senate_district_16
wake_44024,407,360,nc_state_senate_district_16
wake_43922,442,400,nc_state_senate_district_16
wake_43958,824,641,nc_state_senate_district_16
wake_43851,695,397,nc_state_senate_district_16
wake_OSOP 41-80,467,307,nc_state_senate_district_16
wake_OSCA 41-80,1624,783,nc_state_senate_district_16
wake_OSKD 41-80,10,4,nc_state_senate_district_16
wake_OSLOB 81-91,90,16,nc_state_senate_district_16
wake_43831,473,256,nc_state_senate_district_16
wake_17533,585,264,nc_state_senate_district_16
wake_OSFB 41-80,102,60,nc_state_senate_district_16
wake_OSNB 41-80,4,7,nc_state_senate_district_16
wake_OSZB 1-40,42,38,nc_state_senate_district_16
wake_OSAP 41-80,221,144,nc_state_senate_district_16
wake_OSAP 1-40,1075,629,nc_state_senate_district_16
wake_13881,268,185,nc_state_senate_district_16
wake_43932,232,154,nc_state_senate_district_16
wake_43857,206,59,nc_state_senate_district_16
wake_43861,749,283,nc_state_senate_district_16
wake_43836,549,356,nc_state_senate_district_16
wake_OSLL 1-40,2034,807,nc_state_senate_district_16
wake_OSFV 81-91,1,0,nc_state_senate_district_16
wake_OSAV 41-80,47,18,nc_state_senate_district_16
wake_OSCB 81-91,20,10,nc_state_senate_district_16
wake_OSCB 1-40,5541,1925,nc_state_senate_district_16
wake_OSTC 81-91,3,6,nc_state_senate_district_16
wake_OSOP 81-91,8,8,nc_state_senate_district_16
wake_OSTC 41-80,116,85,nc_state_senate_district_16
wake_43839,329,191,nc_state_senate_district_16
wake_OSNR 41-80,16,9,nc_state_senate_district_16
wake_43926,537,518,nc_state_senate_district_16
wake_43935,313,327,nc_state_senate_district_16
wake_43929,492,371,nc_state_senate_district_16
wake_43938,320,288,nc_state_senate_district_16
wake_44136,616,522,nc_state_senate_district_16
wake_44137,618,683,nc_state_senate_district_16
wake_ABSEN 1-40,2950,1673,nc_state_senate_district_16
wake_OSZB 41-80,16,10,nc_state_senate_district_16
wake_TRANS 81-91,0,0,nc_state_senate_district_16
wake_14977,462,236,nc_state_senate_district_16
wake_43853,902,712,nc_state_senate_district_16
wake_43952,572,576,nc_state_senate_district_16
wake_OSLOB 1-40,3525,877,nc_state_senate_district_16
wake_OSWA 1-40,255,128,nc_state_senate_district_16
wake_OSWA 81-91,0,0,nc_state_senate_district_16
wake_OSCB 41-80,378,154,nc_state_senate_district_16
wake_OSZB 81-91,1,0,nc_state_senate_district_16
wake_TRANS 41-80,0,0,nc_state_senate_district_16
wake_OSHS 81-91,0,0,nc_state_senate_district_16
wake_OSKD 81-91,0,1,nc_state_senate_district_16
wake_OSCA 1-40,10104,4475,nc_state_senate_district_16
wake_OSFV 1-40,26,17,nc_state_senate_district_16
wake_43846,509,417,nc_state_senate_district_16
wake_43940,261,305,nc_state_senate_district_16
wake_43939,423,391,nc_state_senate_district_16
wake_OSWD 81-91,1,1,nc_state_senate_district_16
wake_OSWD 1-40,28,13,nc_state_senate_district_16
wake_43937,391,361,nc_state_senate_district_16
wake_43942,365,219,nc_state_senate_district_16
wake_44013,410,290,nc_state_senate_district_16
wake_OSCH 81-91,131,10,nc_state_senate_district_16
wake_OSAB 1-40,64,55,nc_state_senate_district_16
wake_OSHS 41-80,13,9,nc_state_senate_district_16
wake_PROVI 81-91,3,5,nc_state_senate_district_16
wake_43954,346,533,nc_state_senate_district_16
wake_43837,467,209,nc_state_senate_district_16
wake_44014,253,266,nc_state_senate_district_16
wake_OSKD 1-40,53,23,nc_state_senate_district_16
wake_OSGR 1-40,622,266,nc_state_senate_district_16
wake_OSFV 41-80,4,7,nc_state_senate_district_16
wake_43956,882,767,nc_state_senate_district_16
wake_43941,526,452,nc_state_senate_district_16
wake_43843,395,162,nc_state_senate_district_16
wake_OSCH 41-80,773,89,nc_state_senate_district_16
wake_OSAB 81-91,1,1,nc_state_senate_district_16
wake_OSHS 1-40,74,40,nc_state_senate_district_16
wake_OSLL 41-80,2671,1121,nc_state_senate_district_16
wake_OSOP 1-40,485,304,nc_state_senate_district_16
wake_OSFB 1-40,4091,2002,nc_state_senate_district_16
wake_OSFB 81-91,4,1,nc_state_senate_district_16
wake_OSAV 1-40,544,316,nc_state_senate_district_16
