prec_id,Larry M. Bell,election
duplin_FAIS,63,nc_house_of_representatives_district_021
duplin_WARS,632,nc_house_of_representatives_district_021
duplin_ROCK,264,nc_house_of_representatives_district_021
duplin_WALL,247,nc_house_of_representatives_district_021
duplin_ROSE,355,nc_house_of_representatives_district_021
duplin_CHAR,300,nc_house_of_representatives_district_021
duplin_ABSENTEE,76,nc_house_of_representatives_district_021
duplin_KENA,96,nc_house_of_representatives_district_021
duplin_MAGN,259,nc_house_of_representatives_district_021
sampson_CLNE,58,nc_house_of_representatives_district_021
sampson_CLEA,374,nc_house_of_representatives_district_021
sampson_ABSENTEE,67,nc_house_of_representatives_district_021
sampson_ROWA,3,nc_house_of_representatives_district_021
sampson_CLCE,196,nc_house_of_representatives_district_021
sampson_INGO,43,nc_house_of_representatives_district_021
sampson_GIDD,100,nc_house_of_representatives_district_021
sampson_CLWE,77,nc_house_of_representatives_district_021
sampson_TURK,321,nc_house_of_representatives_district_021
sampson_CLSW,44,nc_house_of_representatives_district_021
sampson_HARR,457,nc_house_of_representatives_district_021
wayne_7,23,nc_house_of_representatives_district_021
wayne_27,257,nc_house_of_representatives_district_021
wayne_20,320,nc_house_of_representatives_district_021
wayne_25,106,nc_house_of_representatives_district_021
wayne_28,252,nc_house_of_representatives_district_021
wayne_29,253,nc_house_of_representatives_district_021
wayne_22,235,nc_house_of_representatives_district_021
wayne_11,221,nc_house_of_representatives_district_021
wayne_16,113,nc_house_of_representatives_district_021
wayne_19,235,nc_house_of_representatives_district_021
wayne_18,200,nc_house_of_representatives_district_021
wayne_21,216,nc_house_of_representatives_district_021
wayne_13,211,nc_house_of_representatives_district_021
wayne_10,270,nc_house_of_representatives_district_021
wayne_12,174,nc_house_of_representatives_district_021
wayne_17,239,nc_house_of_representatives_district_021
wayne_ABSENTEE,308,nc_house_of_representatives_district_021
wayne_30,218,nc_house_of_representatives_district_021
wayne_24,5,nc_house_of_representatives_district_021
wayne_9,2,nc_house_of_representatives_district_021
wayne_6,60,nc_house_of_representatives_district_021
wayne_26,255,nc_house_of_representatives_district_021
wayne_23,26,nc_house_of_representatives_district_021
